,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,NNN,116187000,102823000,0.29946,5020836000,1782810000,1.7545587930000002,53978000,6.76
1,NNN,117208000,104292000,0.29222,5131965000,1867963000,1.4958657169999998,46188000,6.61
2,NNN,123143000,109665000,0.33202,5349235000,2022606000,1.5499761730000001,55198000,6.57
3,NNN,126377000,111094000,0.24042,5460044000,1975944000,1.714551289,42471000,6.68
4,NNN,126981000,112724000,0.31969000000000003,5552903000,1969789000,1.949220805,70683000,6.89
5,NNN,130926000,116992000,0.33215,5785290000,2117679000,2.157354371,51942000,6.96
6,NNN,134541000,114505000,0.29052,5856363000,2155176000,2.092945955,50784000,7.1
7,NNN,141199000,125236000,0.3357,6334151000,2311689000,1.817022079,66091000,6.46
8,NNN,141432000,126850000,0.25913,6114772000,2312489000,1.638756755,73657000,6.62
9,NNN,145550000,131306000,0.36155,6337128000,2528801000,1.580880258,58028000,6.74
10,NNN,147705000,134798000,0.33163000000000004,6626220000,2708861000,1.68536621,61120000,6.88
11,NNN,150247000,135070000,0.36609,6560534000,2580207000,1.736852565,72168000,6.29
12,NNN,152835000,138277000,0.38067,6660656000,2636942000,1.5699227169999999,103281000,7.34
13,NNN,155518000,140949000,0.40205,6744941000,2628090000,1.7502182919999998,70573000,
14,NNN,155331000,141029000,0.40045,7358723000,3148160000,1.764024813,82032000,
15,NNN,158978000,143060000,0.35688000000000003,7103438000,2851395000,1.8911167430000002,36561000,
16,NNN,163712000,147098000,0.39803,7136988000,2852214000,2.1533812,80023000,
17,NNN,164792000,148916000,0.39624000000000004,7252801000,2916253000,2.067772359,78678000,
18,NNN,168607000,153175000,0.40379,7627684000,2853901000,2.18407841231084,66693000,
19,NNN,173376000,155991000,0.36445,7434867000,2988357000,1.98923491034592,73786000,
