Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,52.06,52.01,51.02,51.55,13123.0,1948240.0
2015-02-17,52.73,51.78,51.58,52.0,17193.0,2672428.0
2015-02-18,52.88,52.65,51.23,51.78,15495.0,1971024.0
2015-02-19,52.75,51.39,51.25,52.39,14050.0,1800402.0
2015-02-20,52.1399,51.97,51.11,51.37,12871.0,2037926.0
2015-02-23,52.54,52.42,51.74,52.1,12189.0,1839053.0
2015-02-24,52.14,50.87,50.76,52.12,17774.0,2745514.0
2015-02-25,51.83,51.1,50.73,50.87,16693.0,2287788.0
2015-02-26,51.13,49.81,49.39,50.91,18253.0,2686316.0
2015-02-27,50.31,50.06,49.2639,49.77,14702.0,2345712.0
2015-03-02,51.28,50.65,50.14,50.22,11747.0,1692222.0
2015-03-03,50.76,50.55,50.04,50.35,8338.0,1155114.0
2015-03-04,50.83,50.34,50.2899,50.43,8006.0,1069188.0
2015-03-05,51.18,50.8,50.5,50.53,9903.0,1238982.0
2015-03-06,49.78,48.73,48.25,49.78,22863.0,3348238.0
2015-03-09,49.47,49.23,48.82,49.09,10578.0,1451220.0
2015-03-10,49.57,49.27,49.09,49.27,10268.0,1331594.0
2015-03-11,49.73,49.53,49.22,49.47,10955.0,1493582.0
2015-03-12,50.91,50.14,49.78,49.96,13994.0,1815032.0
2015-03-13,50.35,50.05,49.67,50.15,8791.0,1218605.0
2015-03-16,50.89,50.6,50.28,50.63,10607.0,1473086.0
2015-03-17,51.02,50.56,50.3,50.61,12963.0,1981982.0
2015-03-18,52.07,52.01,50.25,50.62,14641.0,1785030.0
2015-03-19,52.64,52.24,51.54,51.85,11720.0,1579416.0
2015-03-20,53.72,53.65,52.29,52.44,12958.0,2806588.0
2015-03-23,54.08,53.46,53.31,53.55,9269.0,1319789.0
2015-03-24,53.38,52.58,52.52,53.33,9803.0,1318417.0
2015-03-25,52.94,51.74,51.55,52.69,9002.0,1231498.0
2015-03-26,52.01,51.25,51.08,51.5,10491.0,1376375.0
2015-03-27,51.53,51.06,50.75,51.35,10527.0,1506270.0
2015-03-30,52.07,51.63,51.31,52.0,29744.0,3718072.0
2015-03-31,52.32,51.6,51.39,51.55,12924.0,2029690.0
2015-04-01,51.93,51.48,51.07,51.62,14539.0,1685202.0
2015-04-02,52.22,52.05,51.4,51.4,11392.0,1406939.0
2015-04-06,52.66,50.56,50.56,51.87,40911.0,39928586.0
2015-04-07,51.44,50.65,50.62,50.82,39358.0,5817395.0
2015-04-08,51.02,50.56,50.38,50.82,17447.0,2408171.0
2015-04-09,50.82,49.36,49.14,50.58,20613.0,3267979.0
2015-04-10,50.16,49.51,49.37,49.8,12087.0,1528171.0
2015-04-13,49.72,49.12,49.11,49.42,9626.0,1452463.0
2015-04-14,50.12,49.94,49.3,49.3,14703.0,2149555.0
2015-04-15,50.0299,49.35,49.32,49.87,11407.0,1729948.0
2015-04-16,49.62,49.37,49.01,49.3,8655.0,949870.0
2015-04-17,49.78,49.26,48.9,49.53,9513.0,1248445.0
2015-04-20,49.53,49.1,49.07,49.35,10740.0,1340001.0
2015-04-21,49.67,49.36,49.12,49.12,11351.0,1496273.0
2015-04-22,49.85,49.52,49.3,49.34,10395.0,1196278.0
2015-04-23,49.61,49.39,49.2,49.41,7647.0,962239.0
2015-04-24,49.73,49.37,49.26,49.44,6907.0,885259.0
2015-04-27,49.56,49.23,48.93,49.32,9519.0,1236533.0
2015-04-28,49.27,49.03,48.81,49.02,9986.0,1282917.0
2015-04-29,48.9,47.82,47.4,48.51,17353.0,2306570.0
2015-04-30,47.82,46.97,46.29,47.82,20613.0,3139896.0
2015-05-01,47.54,47.0,46.81,46.88,14123.0,1799488.0
2015-05-04,47.71,47.17,47.0,47.27,13989.0,1964566.0
2015-05-05,47.09,46.07,45.95,47.02,14554.0,2080780.0
2015-05-06,46.36,45.92,45.47,46.05,18504.0,2704170.0
2015-05-07,46.845,46.51,45.81,46.0,15120.0,2168589.0
2015-05-08,47.86,47.35,46.98,47.04,13402.0,1869218.0
2015-05-11,47.7,46.53,46.38,47.2,15970.0,2070346.0
2015-05-12,46.97,46.88,45.9,46.29,9633.0,1257335.0
2015-05-13,47.54,46.27,46.175,47.28,11975.0,1652355.0
2015-05-14,47.31,47.31,46.51,46.52,10581.0,1398636.0
2015-05-15,48.11,47.9,47.42,47.49,9743.0,1471423.0
2015-05-18,47.9,47.49,47.36,47.61,11016.0,1527085.0
2015-05-19,47.666,47.31,47.23,47.29,8251.0,1087333.0
2015-05-20,47.675,47.35,47.152,47.31,7188.0,839827.0
2015-05-21,47.51,46.98,46.75,47.42,8015.0,1010892.0
2015-05-22,47.2,46.96,46.6741,46.78,6524.0,828081.0
2015-05-26,46.95,46.39,46.2,46.95,13634.0,1852219.0
2015-05-27,46.58,46.44,46.1,46.37,14125.0,1865716.0
2015-05-28,46.35,46.04,45.87,46.25,12354.0,1682402.0
2015-05-29,46.15,45.57,45.53,46.08,16684.0,2932277.0
2015-06-01,46.09,45.91,45.54,45.71,12618.0,1681535.0
2015-06-02,45.92,45.8,45.4,45.83,11882.0,1654979.0
2015-06-03,45.73,45.25,45.12,45.58,17184.0,2310742.0
2015-06-04,45.78,45.6,44.72,45.21,18204.0,2878224.0
2015-06-05,45.78,45.25,44.65,44.95,26049.0,4113890.0
2015-06-08,45.97,45.62,45.33,45.33,16126.0,2290925.0
2015-06-09,45.79,45.01,44.95,45.5,11016.0,1533694.0
2015-06-10,45.57,45.16,44.67,45.16,12522.0,1620131.0
2015-06-11,45.84,45.59,45.35,45.52,10541.0,1448380.0
2015-06-12,45.68,45.34,45.26,45.52,10066.0,1367686.0
2015-06-15,45.52,45.07,45.05,45.39,10192.0,1292076.0
2015-06-16,45.402,45.31,45.03,45.19,10090.0,1377513.0
2015-06-17,46.005,45.92,45.1,45.38,13446.0,1765250.0
2015-06-18,47.05,46.64,46.05,46.05,17203.0,1983660.0
2015-06-19,46.61,46.07,46.07,46.56,13406.0,3243262.0
2015-06-22,46.32,45.49,45.45,46.18,12665.0,1704402.0
2015-06-23,45.52,45.11,44.92,45.52,10228.0,1461330.0
2015-06-24,45.31,44.78,44.71,45.13,8895.0,1194308.0
2015-06-25,45.05,44.42,44.23,44.78,13901.0,2018824.0
2015-06-26,45.04,44.94,44.3,44.43,9992.0,1436271.0
2015-06-29,45.24,44.37,44.345,44.76,13174.0,1703879.0
2015-06-30,44.99,44.39,44.35,44.6,15072.0,1915898.0
2015-07-01,45.1,45.1,44.2,44.47,13723.0,1965956.0
2015-07-02,46.19,45.39,45.255,45.5,12658.0,1698913.0
