Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,29.66,29.51,29.18,29.48,6114.0,1225423.0
2015-02-17,29.92,29.53,29.35,29.5,7640.0,1112674.0
2015-02-18,29.82,29.8,29.2,29.52,5693.0,948256.0
2015-02-19,30.01,29.76,29.31,29.63,11302.0,2289894.0
2015-02-20,30.115,30.04,29.63,29.72,6746.0,854409.0
2015-02-23,30.63,30.5,30.19,30.41,10134.0,1447182.0
2015-02-24,30.42,29.82,29.68,30.41,6598.0,933509.0
2015-02-25,30.07,29.83,29.74,29.87,5983.0,1064749.0
2015-02-26,29.89,29.73,29.53,29.83,7962.0,1567161.0
2015-02-27,29.88,29.4,29.36,29.8,8164.0,1911136.0
2015-03-02,29.98,29.8,29.435,29.51,7972.0,1124259.0
2015-03-03,29.8,29.58,29.41,29.75,5411.0,699884.0
2015-03-04,29.58,29.17,29.05,29.48,3300.0,457557.0
2015-03-05,29.46,29.28,29.16,29.36,4795.0,639603.0
2015-03-06,28.97,28.62,28.26,28.97,10762.0,1473534.0
2015-03-09,28.89,28.59,28.485,28.68,4150.0,610904.0
2015-03-10,28.86,28.72,28.47,28.5,6538.0,1313017.0
2015-03-11,28.97,28.91,28.64,28.71,6431.0,921275.0
2015-03-12,29.37,29.23,28.922,28.99,5023.0,799273.0
2015-03-13,29.32,29.3,28.87,29.22,4368.0,538055.0
2015-03-16,29.64,29.34,29.28,29.46,4470.0,706690.0
2015-03-17,29.38,29.25,29.11,29.23,5717.0,875489.0
2015-03-18,29.67,29.61,28.92,29.29,10937.0,1418179.0
2015-03-19,30.005,29.9,29.48,29.5,5614.0,738357.0
2015-03-20,30.84,30.75,29.85,29.95,9172.0,1655937.0
2015-03-23,30.94,30.49,30.485,30.73,6856.0,901211.0
2015-03-24,30.47,29.94,29.93,30.41,8188.0,1088230.0
2015-03-25,30.1,29.35,29.27,29.98,6578.0,904128.0
2015-03-26,29.45,28.97,28.9,29.25,5693.0,622416.0
2015-03-27,29.05,28.75,28.6,28.81,5012.0,612346.0
2015-03-30,29.44,29.34,28.85,28.9,7123.0,1180816.0
2015-03-31,29.61,29.38,29.17,29.29,5124.0,797622.0
2015-04-01,29.49,29.34,29.01,29.34,4493.0,556142.0
2015-04-02,29.64,29.53,29.22,29.32,5480.0,744906.0
2015-04-06,29.87,29.86,29.53,29.53,5852.0,1463737.0
2015-04-07,29.83,29.41,29.35,29.81,6526.0,982796.0
2015-04-08,29.62,29.49,29.38,29.41,5011.0,768122.0
2015-04-09,29.51,28.92,28.805,29.42,6011.0,820458.0
2015-04-10,29.28,28.92,28.89,29.1,5062.0,630269.0
2015-04-13,29.03,28.87,28.82,28.86,3633.0,479967.0
2015-04-14,29.21,28.93,28.89,28.97,3694.0,442921.0
2015-04-15,29.03,28.66,28.63,28.99,5920.0,877724.0
2015-04-16,28.86,28.7,28.5,28.61,4978.0,514869.0
2015-04-17,28.786,28.41,28.33,28.63,3748.0,436530.0
2015-04-20,28.6,28.38,28.3,28.47,3245.0,363543.0
2015-04-21,28.72,28.34,28.33,28.55,3040.0,400288.0
2015-04-22,28.46,28.29,28.23,28.3,3474.0,465951.0
2015-04-23,28.35,28.27,28.16,28.28,3922.0,753724.0
2015-04-24,28.33,28.13,28.12,28.3,6650.0,931498.0
2015-04-27,28.38,28.16,28.05,28.2,5658.0,712636.0
2015-04-28,28.16,27.72,27.34,28.12,9475.0,1350619.0
2015-04-29,27.52,26.86,26.69,27.14,9202.0,1216265.0
2015-04-30,26.86,26.39,26.1,26.71,9402.0,1022296.0
2015-05-01,26.86,26.5,26.39,26.47,5208.0,1170571.0
2015-05-04,27.03,26.84,26.525,26.6,5963.0,1109986.0
2015-05-05,26.79,26.31,26.23,26.79,6869.0,953016.0
2015-05-06,26.46,26.24,26.08,26.27,5508.0,716707.0
2015-05-07,26.75,26.7,26.22,26.3,6637.0,829343.0
2015-05-08,27.39,26.82,26.82,27.02,4788.0,540890.0
2015-05-11,27.0,26.46,26.34,26.76,3365.0,415171.0
2015-05-12,26.53,26.46,25.98,26.25,3753.0,614856.0
2015-05-13,26.85,26.15,26.11,26.6,4552.0,484104.0
2015-05-14,26.64,26.58,26.1701,26.24,3363.0,535879.0
2015-05-15,26.9,26.85,26.52,26.69,2334.0,252335.0
2015-05-18,26.72,26.6,26.43,26.7,3543.0,463546.0
2015-05-19,26.79,26.6,26.37,26.51,4537.0,717728.0
2015-05-20,26.78,26.57,26.49,26.67,2329.0,259043.0
2015-05-21,26.67,26.43,26.28,26.65,4217.0,586307.0
2015-05-22,26.48,26.32,26.23,26.32,4284.0,768024.0
2015-05-26,26.26,26.09,26.01,26.25,5272.0,589530.0
2015-05-27,26.34,26.3,25.94,26.13,4281.0,505953.0
2015-05-28,26.36,26.07,26.031,26.26,3537.0,384618.0
2015-05-29,26.13,25.67,25.6,26.05,7347.0,1357486.0
2015-06-01,26.28,26.19,25.6401,25.74,6644.0,825526.0
2015-06-02,26.08,25.91,25.84,26.08,2937.0,457908.0
2015-06-03,25.96,25.48,25.48,25.89,5106.0,728344.0
2015-06-04,25.61,25.5,25.33,25.46,5375.0,814848.0
2015-06-05,25.33,25.11,24.96,25.19,7090.0,1049313.0
2015-06-08,25.21,25.0,24.97,25.13,5724.0,887763.0
2015-06-09,25.08,24.81,24.77,24.97,4691.0,721632.0
2015-06-10,25.135,24.89,24.77,24.81,7488.0,1100275.0
2015-06-11,25.25,25.06,24.96,25.07,5927.0,836663.0
2015-06-12,25.18,24.92,24.86,25.01,4537.0,753126.0
2015-06-15,24.95,24.9,24.68,24.9,6071.0,980997.0
2015-06-16,25.21,25.16,24.82,24.93,5696.0,1047414.0
2015-06-17,25.3,25.11,24.96,25.16,9135.0,5501473.0
2015-06-18,25.61,25.47,25.112,25.14,7662.0,996850.0
2015-06-19,25.43,25.35,25.1,25.41,8070.0,1955059.0
2015-06-22,25.54,25.21,25.19,25.38,6143.0,991929.0
2015-06-23,25.205,24.97,24.95,25.08,4281.0,860362.0
2015-06-24,25.07,24.8,24.76,24.97,5490.0,1145448.0
2015-06-25,24.8,24.51,24.51,24.78,7209.0,1031457.0
2015-06-26,24.46,24.3,24.17,24.33,6428.0,1198838.0
2015-06-29,24.47,23.65,23.62,24.12,8878.0,1164105.0
2015-06-30,23.83,23.54,23.47,23.8,6860.0,828983.0
2015-07-01,23.78,23.78,23.3,23.45,6591.0,1075271.0
2015-07-02,24.24,23.74,23.63,23.91,5942.0,706910.0
2015-07-06,23.94,23.92,23.62,23.63,5630.0,702688.0
2015-07-07,24.37,24.3,24.02,24.02,8101.0,982651.0
2015-07-08,24.35,24.01,23.93,24.2,5932.0,774073.0
2015-07-09,24.14,23.76,23.72,24.09,3595.0,466912.0
2015-07-10,24.41,24.31,23.82,23.85,8187.0,1249199.0
2015-07-13,24.81,24.31,24.23,24.4,5619.0,769777.0
2015-07-14,24.47,24.31,24.22,24.37,3937.0,482005.0
2015-07-15,24.26,24.1,24.05,24.25,4829.0,624575.0
2015-07-16,24.32,24.29,24.125,24.21,4741.0,670597.0
2015-07-17,24.31,24.04,23.96,24.26,3627.0,450310.0
2015-07-20,24.16,24.12,23.93,24.0,5155.0,644367.0
2015-07-21,24.27,24.1,23.98,24.1,5209.0,795569.0
2015-07-22,24.35,24.2,24.0,24.08,4219.0,546450.0
2015-07-23,24.205,23.98,23.74,24.2,6297.0,850189.0
2015-07-24,24.095,24.0,23.77,23.95,5704.0,672233.0
2015-07-27,24.15,23.99,23.84,23.99,6434.0,987683.0
2015-07-28,23.99,23.42,23.36,23.82,7288.0,1267870.0
2015-07-29,23.32,23.16,22.77,23.29,13213.0,1985969.0
2015-07-30,23.16,22.97,22.87,23.07,7692.0,1092905.0
2015-07-31,23.4,23.13,23.08,23.14,5635.0,746393.0
2015-08-03,23.22,23.14,23.02,23.17,4739.0,576433.0
2015-08-04,23.35,22.82,22.77,23.15,6199.0,987855.0
2015-08-05,23.0,22.86,22.74,22.87,7433.0,1275653.0
2015-08-06,23.05,23.0,22.63,22.82,8557.0,1305788.0
2015-08-07,23.19,23.14,22.745,22.97,7236.0,966365.0
2015-08-10,23.25,23.22,23.015,23.23,7813.0,953854.0
