,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,OFC,161034000,62666000,0.10567,3777155000,1999622000,1.8876923730000001,9369000,
1,OFC,170363000,73022000,0.13832,3910921000,2130170000,1.52180684,15782000,
2,OFC,150744000,73293000,0.030330000000000003,3918473000,2121240000,1.370599946,89785000,
3,OFC,143325000,76633000,0.72926,3909312000,2077752000,1.366715045,-4683000,
4,OFC,144307000,68039000,0.05026,3937908000,2140212000,1.605999788,6826000,
5,OFC,145927000,76443000,-0.0612,3841692000,2094486000,1.8503559109999999,-47419000,
6,OFC,142103000,71752000,0.44142,3634194000,1873836000,1.8738854,-6802000,
7,OFC,141991000,72437000,0.24789,3780885000,1930584000,2.064240891,17848000,
8,OFC,139801000,69003000,0.18,3739366000,1903657000,2.14062969,16781000,
9,OFC,151435000,71621000,0.0975,3574887000,1913911000,2.268098298,17514000,
10,OFC,157017000,73793000,0.20506,3559772000,1889638000,2.415204786,19391000,
11,OFC,164567000,73044000,0.13162000000000001,3595205000,1844186000,2.154625083,15059000,
12,OFC,155476000,69763000,0.16704000000000002,3596238000,1866664000,1.8659879730000002,17154000,
13,OFC,146743000,71740000,0.18769,3612362000,1872085000,2.090822781,19457000,
14,OFC,137411000,72062000,0.17775,3650366000,1808690000,2.135799498,18697000,
15,OFC,138482000,71600000,0.15517999999999998,3656005000,1824569000,1.459711095,16993000,
16,OFC,148940000,73734000,0.18717999999999999,3775859000,1876149000,1.898310943,20859000,
17,OFC,175070000,76422000,0.95401,3803469000,1784362000,1.833021664,106791000,
18,OFC,159431000,72097000,0.19130999999999998,3855369000,1862301000,1.9936061689416,21257000,
19,OFC,157785000,71227000,0.38206999999999997,3854453000,1831139000,1.98763618232297,22057000,
