,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,OUT,395000000,117600000,0.29323,4023600000,2198300000,2.827445175,27800000,
1,OUT,343900000,83400000,0.00946,4057200000,2301700000,2.4949048990000002,1100000,
2,OUT,384700000,114700000,0.17897000000000002,4029300000,2301700000,2.0871342040000003,22200000,
3,OUT,386700000,110200000,0.15417999999999998,4010300000,2301700000,2.250093703,21200000,
4,OUT,398500000,114100000,-0.53776,3815500000,2222000000,2.394326241,-73900000,
5,OUT,348400000,83300000,-0.014830000000000001,3799300000,2258200000,2.848267817,-2300000,
6,OUT,385300000,118500000,0.21054,3781100000,2184300000,2.597431507,28500000,
7,OUT,382800000,116200000,0.26525,3770300000,2165500000,2.734626818,38100000,
8,OUT,397400000,113000000,0.20446,3738500000,2136800000,2.97274077,26600000,
9,OUT,330600000,74800000,0.028419999999999997,3656500000,2142500000,2.703705704,2500000,
10,OUT,396200000,116500000,0.28879,3800700000,2228600000,2.9528284960000004,37100000,
11,OUT,392400000,115600000,0.27913000000000004,3813900000,2217700000,2.690811715,50700000,
12,OUT,401300000,116700000,0.34448,3808200000,2225300000,2.1991059180000003,35500000,
13,OUT,337900000,76200000,0.06978,3770700000,2248400000,2.392154091,9100000,
14,OUT,401700000,119600000,0.15129,3775100000,2316500000,2.585629885,-5200000,
15,OUT,414200000,124500000,0.32753000000000004,3816000000,2333500000,2.337469946,46800000,
16,OUT,452400000,139000000,0.40476,3828700000,2309600000,2.97486398258502,57200000,
17,OUT,371700000,81500000,0.03355,5077000000,2340700000,3.4393208410000002,6100000,
18,OUT,459900000,138100000,0.35176,5665000000,2792300000,3.6275929789574803,50300000,
19,OUT,462500000,134700000,0.32539,5320900000,2422500000,3.5217884288957704,38700000,
