,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,O,247573000.0,213267000.0,0.21554,11012622000.0,4935344000.0,2.067172718,77788000.0,4.2
1,O,246867000.0,221990000.0,0.24604,11092153000.0,5029511000.0,1.7836896130000002,67264000.0,4.24
2,O,253860000.0,228176000.0,0.25334,11728314000.0,5310076000.0,1.867369403,66087000.0,4.26
3,O,258889000.0,236272000.0,0.24711,11738569000.0,5256178000.0,2.035276791,67475000.0,4.35
4,O,263668000.0,239677000.0,0.29125999999999996,11845379000.0,4825702000.0,2.3965890830000003,82941000.0,4.71
5,O,267116000.0,240794000.0,0.25227,12037103000.0,5109882000.0,2.687920945,70243000.0,4.94
6,O,271039000.0,243137000.0,0.26319000000000004,12249431000.0,4952466000.0,2.538719726,75815000.0,4.89
7,O,277174000.0,250207000.0,0.28936,12536453000.0,5255636000.0,2.200517419,77072000.0,5.1
8,O,287843000.0,257618000.0,0.32003000000000004,13152871000.0,5844621000.0,2.288793427,92441000.0,4.94
9,O,298025000.0,263889000.0,0.25319,13422186000.0,5428720000.0,2.141734655,88870000.0,4.83
10,O,300170000.0,268591000.0,0.29588000000000003,13574116000.0,5993219000.0,2.238661317,81136000.0,5.14
11,O,306920000.0,276132000.0,0.30509000000000003,13701419000.0,5792276000.0,2.184671625,87940000.0,5.08
12,O,310653000.0,277694000.0,0.3027,14058166000.0,6116797000.0,1.994488529,60852000.0,5.37
13,O,318295000.0,286518000.0,0.33111,14474093000.0,6599646000.0,2.104685192,83163000.0,5.34
14,O,328886000.0,295050000.0,0.32495999999999997,14674074000.0,6545683000.0,2.207067022,96380000.0,
15,O,338081000.0,306297000.0,0.33737,15095325000.0,6785217000.0,2.423839564,98999000.0,
16,O,342576000.0,292275000.0,0.27044,15260483000.0,6505612000.0,2.762267376,85072000.0,
17,O,354365000.0,318267000.0,0.35708,15762908000.0,7021140000.0,2.624483132,110942000.0,
18,O,365450000.0,326158000.0,0.32566,16748630000.0,7080079000.0,2.7610755485901297,95194000.0,
19,O,374247000.0,337998000.0,0.35215,17179904000.0,7043257000.0,2.58212547141404,101049000.0,
20,O,,,,,,,,
