,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,PCH.O,134125000,22531000,0.13862,1031146000,629648000,6.662386445,5656000,
1,PCH.O,128747000,14404000,0.01741,1040252000,644259000,6.1064857120000005,711000,
2,PCH.O,174475000,40271000,0.53366,1039575000,630175000,5.261251437,21798000,
3,PCH.O,137989000,19806000,0.08682000000000001,1016612000,636717000,5.275747153,3549000,
4,PCH.O,127896000,13677000,0.0038399999999999997,1001355000,627709000,5.8009017,157000,
5,PCH.O,141495000,22163000,0.007390000000000001,914145000,586287000,6.718098557999999,-31238000,
6,PCH.O,174027000,48243000,0.6786,933125000,585370000,10.340620693,27646000,
7,PCH.O,155681000,34183000,0.35254,927681000,583988000,9.992371847000001,14373000,
8,PCH.O,149681000,32517000,0.41495,932671000,583918000,10.928388988,16921000,
9,PCH.O,163229000,45435000,0.53587,946774000,579202000,10.747102452,24244000,
10,PCH.O,190441000,56061000,0.8731,970993000,579323000,11.214710741,33700000,
11,PCH.O,175244000,50127000,0.60956,953079000,573319000,9.775565036,11588000,
12,PCH.O,199897000,59721000,0.56387,2372353000,782974000,9.721513109,14597000,
13,PCH.O,268233000,92040000,0.74557,2397149000,783436000,2.203832948,46148000,3.4
14,PCH.O,289199000,98159000,0.88671,2413071000,783899000,1.8882876119999998,60336000,
15,PCH.O,217250000,30314000,0.040510000000000004,2325852000,755364000,1.6840023030000002,1799000,
16,PCH.O,181716000,27205000,0.05322,2273214000,755818000,1.942123157,6560000,
17,PCH.O,215581000,42093000,0.25327,2258941000,756082000,2.060864434,17137000,
18,PCH.O,226302000,50374000,0.30491,2257054000,756345000,2.21526970025013,20565000,
19,PCH.O,203499000,39540000,0.16893,2235059000,756469000,2.35379494208954,11399000,
