,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,PEAK.K,610791000,453987000,0.14794000000000002,21024442000,9986763000,1.684627823,-240614000,8.81
1,PEAK.K,607532000,441427000,0.44511000000000006,22348127000,11213358000,1.4888414230000002,164885000,6.93
2,PEAK.K,657499000,463450000,0.34807,22192973000,11144880000,1.532663731,115362000,5.58
3,PEAK.K,65585000,-125019000,-0.45688,21449849000,11069003000,1.5901556319999999,-598868000,8.25
4,PEAK.K,520457000,319049000,0.10649000000000002,21199927000,10935944000,1.47760837,116119000,7.57
5,PEAK.K,538335000,336476000,0.25003000000000003,21116457000,10755449000,1.6292345259999998,301717000,7.92
6,PEAK.K,530557000,308062000,0.09519,21188545000,10920535000,1.7395840130000002,151250000,7.5
7,PEAK.K,172238000,-40866000,-0.47608,15759265000,9189495000,1.5140418359999999,58661000,7.22
8,PEAK.K,492168000,310609000,0.54686,14855868000,8141452000,2.639267828,461145000,4.44
9,PEAK.K,458928000,284479000,0.12506,14102575000,7485326000,2.563028409,19383000,3.86
10,PEAK.K,454023000,270126000,0.08349,13904081000,7466203000,2.288460974,-7657000,3.55
11,PEAK.K,443259000,222177000,-0.00247,14088461000,7880466000,2.211439544,-58702000,4.9
12,PEAK.K,479197000,286208000,0.12850999999999999,14067571000,7965591000,2.0571553590000002,40232000,3.93
13,PEAK.K,469551000,273171000,0.14957,13451387000,7403042000,2.329548076,89942000,
14,PEAK.K,456022000,255885000,0.1585,13083958000,6798253000,2.404185973,99371000,
15,PEAK.K,441919000,243591000,0.69007,12718553000,5567908000,2.5881139930000003,831548000,
16,PEAK.K,436154000,245744000,0.13482,12899501000,5763870000,2.514222192,61470000,
17,PEAK.K,491567000,254709000,0.03333,13713093000,6290559000,2.618549367,-13597000,
18,PEAK.K,537971000,268416000,0.00971,14010210000,6600432000,2.89016040313786,-45863000,
19,PEAK.K,531691000,261759000,0.9496700000000001,14032891000,6351613000,2.8749422815563603,43520000,
