,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,PEI,111355000,26369000,0.01653,2539703000,1537947000,1.959938133,18458000,
1,PEI,100057000,17223000,-0.10075,2995600000,1869049000,1.893068934,-13508000,
2,PEI,101693000,17338000,-0.07972,2958418000,1880795000,1.8712197330000002,-30924000,
3,PEI,107036000,23521000,0.046669999999999996,2873219000,1852270000,2.219508306,-32340000,
4,PEI,116625000,32706000,0.17758,2800392000,1784371000,2.4027461580000002,-39910000,
5,PEI,101972000,19531000,-0.046060000000000004,2687385000,1760333000,2.4527694369999997,1721000,
6,PEI,94253000,17251000,-0.024880000000000003,2631382000,1713397000,2.683068551,8187000,
7,PEI,98860000,54073000,0.13940999999999998,2624731000,1739546000,2.249486042,2604000,
8,PEI,104861000,25822000,0.14457,2616832000,1766902000,1.89648777,-23860000,
9,PEI,89264000,14368000,-0.09197999999999999,2590495000,1601770000,1.122948405,-434000,
10,PEI,89250000,14933000,0.00164,2585666000,1636016000,1.151480059,-47608000,
11,PEI,89211000,20397000,-0.019459999999999998,2624646000,1580145000,1.11747417,10995000,
12,PEI,99765000,23986000,0.00165,2588771000,1656842000,1.082201513,11094000,
13,PEI,86282000,40082000,-0.17556,2516845000,1610019000,1.277133987,-2601000,
14,PEI,91973000,49235000,-0.02625,2471773000,1603605000,1.190573763,-28921000,
15,PEI,88103000,45942000,-0.09955,2480319000,1636246000,0.7604516459999999,-745000,
16,PEI,96042000,51338000,0.13598,2405114000,1660195000,1.005972467,-78782000,
17,PEI,85305000,40259000,-0.20901999999999998,2390471000,1695241000,1.01385871,-14535000,
18,PEI,81392000,10132000,-0.18389,2374933000,1711164000,0.9682266630266659,-5751000,
19,PEI,81374000,11840000,-0.17356,2334046000,1665475000,0.9032888188124829,24262000,
