,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,PLD,462847000,253689000,0.16577999999999998,25460821000,8641421000,1.588044692,346876000,2.7
1,PLD,510404000,277536000,0.07057999999999999,31602397000,12121305000,1.330264018,141918000,4.2
2,PLD,580622000,350863000,0.01026,31419354000,11934355000,1.385948671,260650000,5.3
3,PLD,643201000,378457000,0.17347,31394767000,11626831000,1.5376383480000002,119995000,4.57
4,PLD,606300000,379198000,0.15399000000000002,31375748000,11687171000,1.5798365730000001,209730000,2.24
5,PLD,602155000,372730000,0.16297,30745934000,11139415000,1.759930971,277079000,2.81
6,PLD,704565000,457491000,0.33005,30888209000,11256997000,1.915875204,280926000,5.59
7,PLD,620115000,389944000,0.31940999999999997,30249932000,10608294000,1.885561614,442197000,6.6
8,PLD,629155000,388477000,0.20801999999999998,29814958000,10966932000,1.8295846359999999,204929000,4.47
9,PLD,766183000,503417000,0.40958,30150395000,11081922000,2.108359038,268617000,7.77
10,PLD,602874000,377394000,0.21114000000000002,29654150000,9721065000,2.271033694,877893000,6.72
11,PLD,619922000,380918000,0.21866,29481075000,9412631000,2.208253678,300886000,5.94
12,PLD,693656000,441188000,0.33733,29671485000,9460177000,2.144588145,367378000,6.15
13,PLD,621276000,390967000,0.45732,29502882000,9427124000,2.233394855,336087000,6.15
14,PLD,682432000,434223000,0.28045,38268162000,11232129000,2.3117593469999997,347836000,6.15
15,PLD,807085000,527838000,0.40395,38417664000,11089815000,1.6779176930000002,598060000,6.99
16,PLD,772052000,472391000,0.26593,38392112000,10706139000,2.031602936,348546000,
17,PLD,790372000,502237000,0.27544,38706750000,10968320000,2.262085686,385276000,
18,PLD,942181000,630420000,0.54484,39448185000,11459223000,2.40826135265695,452146000,
19,PLD,826016000,526779000,0.13339,40031850000,11905877000,2.50091245851369,386991000,
