Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,203.46,202.61,201.1,203.46,5196.0,447598.0
2015-02-17,204.09,203.13,201.96,202.75,6945.0,724490.0
2015-02-18,203.58,203.16,200.835,203.28,6560.0,508179.0
2015-02-19,202.55,198.79,198.34,202.13,8568.0,749362.0
2015-02-20,201.71,200.18,198.79,199.87,8503.0,950271.0
2015-02-23,201.71,201.01,199.43,200.56,5805.0,611563.0
2015-02-24,200.9,198.5,198.28,200.14,6149.0,571142.0
2015-02-25,199.84,198.28,197.41,198.17,5786.0,498627.0
2015-02-26,198.59,196.76,196.03,198.15,4936.0,452127.0
2015-02-27,197.74,197.22,195.3801,197.09,5493.0,626222.0
2015-03-02,199.67,197.55,195.95,195.95,7005.0,635791.0
2015-03-03,197.48,196.92,195.52,197.36,5448.0,473897.0
2015-03-04,197.3,195.18,194.77,196.71,5823.0,597809.0
2015-03-05,196.82,195.6,194.04,195.22,5090.0,499303.0
2015-03-06,192.39,188.15,187.83,192.05,12109.0,1066207.0
2015-03-09,190.785,187.96,187.93,189.01,7838.0,749451.0
2015-03-10,188.47,186.65,186.01,187.65,8047.0,876019.0
2015-03-11,188.22,185.86,185.2,186.45,9142.0,1021720.0
2015-03-12,188.42,188.23,185.61,185.71,8130.0,776266.0
2015-03-13,189.19,188.83,186.63,188.5,6975.0,644615.0
2015-03-16,191.53,190.77,189.14,189.14,6127.0,624901.0
2015-03-17,191.33,190.19,189.39,190.48,6419.0,496611.0
2015-03-18,194.35,193.73,188.37,190.16,8444.0,671838.0
2015-03-19,195.38,194.24,193.26,193.83,5888.0,588098.0
2015-03-20,199.41,199.12,194.23,195.12,7888.0,983451.0
2015-03-23,202.69,201.56,197.7,198.82,11626.0,1158585.0
2015-03-24,202.81,199.38,199.38,201.47,7371.0,699369.0
2015-03-25,200.23,196.83,196.74,199.47,7522.0,637624.0
2015-03-26,197.72,196.58,195.39,195.68,5593.0,446973.0
2015-03-27,197.85,197.48,195.98,196.55,5942.0,606651.0
2015-03-30,199.62,199.19,197.01,197.46,6397.0,484497.0
2015-03-31,199.78,197.14,196.76,198.85,7148.0,739728.0
2015-04-01,198.06,195.95,194.8015,197.4,6008.0,532364.0
2015-04-02,198.11,197.31,195.36,195.88,5897.0,456557.0
2015-04-06,199.93,199.37,197.54,197.98,5162.0,406023.0
2015-04-07,199.41,197.05,196.88,199.41,5715.0,438452.0
2015-04-08,197.51,197.0,196.52,197.13,5711.0,492170.0
2015-04-09,197.57,194.13,193.49,196.88,6031.0,499007.0
2015-04-10,196.81,193.69,193.02,195.3,5927.0,452803.0
2015-04-13,193.93,191.45,191.45,193.71,5844.0,689113.0
2015-04-14,193.5,192.07,191.36,192.13,5870.0,545635.0
2015-04-15,193.47,190.95,190.88,192.53,5373.0,472940.0
2015-04-16,192.28,191.61,189.82,190.51,5535.0,452760.0
2015-04-17,191.44,190.07,189.27,190.87,6350.0,533689.0
2015-04-20,191.68,191.59,189.63,190.33,7711.0,872424.0
2015-04-21,192.6,191.64,190.5,191.85,5801.0,511135.0
