,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,PSA,561681000.0,410085000.0,1.6467599999999998,9818676000.0,64364000.0,3.585765977,346715000.0,19.73
1,PSA,569394000.0,372072000.0,1.22386,9772017000.0,203657000.0,3.4297987310000004,281781000.0,15.88
2,PSA,588615000.0,406530000.0,1.43219,9634758000.0,58683000.0,3.9378790280000002,326405000.0,18.93
3,PSA,618872000.0,430613000.0,1.5810799999999998,9654815000.0,180725000.0,4.678246226000001,339568000.0,21.27
4,PSA,609330000.0,452165000.0,1.75275,9778232000.0,319016000.0,5.201039451000001,363490000.0,23.34
5,PSA,611786000.0,415453000.0,1.3912,10064347000.0,711664000.0,4.888755592,315873000.0,20.55
6,PSA,634188000.0,443863000.0,1.62216,9997137000.0,924335000.0,4.420483411,356659000.0,22.36
7,PSA,663148000.0,462381000.0,1.78476,9865769000.0,430892000.0,4.271267405,367305000.0,24.58
8,PSA,651427000.0,486113000.0,2.0371,10130338000.0,390749000.0,4.030494238,413739000.0,26.11
9,PSA,645547000.0,437617000.0,1.62162,10083911000.0,395862000.0,3.86489394,342442000.0,22.97
10,PSA,664312000.0,466742000.0,1.58815,10365727000.0,880778000.0,4.067139657,353702000.0,25.58
11,PSA,686361000.0,473431000.0,1.6102100000000001,10765694000.0,1425854000.0,4.063410837,356674000.0,26.78
12,PSA,672308000.0,499878000.0,1.91995,10732892000.0,1431322000.0,3.8969174210000004,389399000.0,27.72
13,PSA,669924000.0,445577000.0,1.65272,10685520000.0,1442911000.0,4.437885313,342997000.0,23.75
14,PSA,685528000.0,463222000.0,2.00251,10692962000.0,1420834000.0,3.942411219,403802000.0,
15,PSA,706368000.0,483395000.0,1.8466900000000002,10747940000.0,1417945000.0,3.96077047,378027000.0,
16,PSA,692460000.0,503644000.0,1.9669900000000002,10928270000.0,1412283000.0,4.158376504,586205000.0,
17,PSA,689038000.0,465334000.0,1.73239,10875016000.0,1406150000.0,4.5748262969999995,366521000.0,
18,PSA,710950000.0,487950000.0,1.75647,11113291000.0,1908110000.0,4.87507568426897,370056000.0,
19,PSA,729336000.0,500166000.0,1.93515,11413861000.0,2179935000.0,4.2323991026826295,397942000.0,
20,PSA,,,,,,,,
