Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,82.31,81.98,81.08,82.31,923.0,89136.0
2015-02-17,82.79,81.77,81.205,82.06,667.0,54715.0
2015-02-18,82.98,82.48,81.1,81.81,1632.0,161623.0
2015-02-19,83.0,81.43,80.65,82.08,1060.0,98214.0
2015-02-20,82.32,81.88,81.03,81.08,961.0,95513.0
2015-02-23,83.98,83.98,81.62,81.95,892.0,79049.0
2015-02-24,83.67,82.66,81.875,83.67,895.0,81292.0
2015-02-25,83.88,82.63,82.34,82.71,1078.0,104443.0
2015-02-26,82.51,81.91,81.6,82.51,798.0,77020.0
2015-02-27,83.57,83.18,81.38,82.19,1229.0,116068.0
2015-03-02,84.54,83.47,83.01,83.37,1187.0,94139.0
2015-03-03,83.87,83.45,82.51,83.4,1029.0,84520.0
2015-03-04,83.63,81.59,81.12,83.1,1735.0,162695.0
2015-03-05,82.05,81.22,81.0,81.68,1076.0,89547.0
2015-03-06,80.31,78.09,77.88,80.31,972.0,93326.0
2015-03-09,78.84,78.17,77.7,77.73,1115.0,101505.0
2015-03-10,78.69,78.26,77.27,77.6,1122.0,100070.0
2015-03-11,78.965,78.6,76.93,78.59,1703.0,165066.0
2015-03-12,79.82,79.75,78.6,78.8,1464.0,123982.0
2015-03-13,79.83,78.91,78.0,79.53,1048.0,111483.0
2015-03-16,80.23,79.93,78.57,78.89,984.0,92485.0
2015-03-17,80.315,80.1,79.61,79.91,1070.0,100813.0
2015-03-18,82.17,81.65,79.3,79.9,1423.0,90312.0
2015-03-19,82.32,81.81,80.64,81.18,758.0,93440.0
2015-03-20,84.03,83.95,81.91,82.04,748.0,115131.0
2015-03-23,84.76,84.28,83.33,83.95,1271.0,102159.0
2015-03-24,84.39,83.87,83.27,84.31,1203.0,99207.0
2015-03-25,84.28,82.16,81.9,84.28,778.0,100209.0
2015-03-26,82.45,81.64,81.44,82.29,930.0,86970.0
2015-03-27,82.34,82.16,81.41,81.6,805.0,79404.0
2015-03-30,83.44,83.35,82.18,82.52,699.0,60039.0
2015-03-31,83.87,83.04,82.34,82.85,915.0,94889.0
2015-04-01,83.68,83.2,81.83,82.95,1727.0,168051.0
2015-04-02,83.97,83.27,82.43,83.07,1413.0,129586.0
2015-04-06,84.25,83.6,83.08,83.08,736.0,61172.0
2015-04-07,83.72,82.16,82.05,83.72,886.0,84257.0
2015-04-08,83.63,83.33,82.12,82.53,1606.0,174148.0
2015-04-09,83.33,80.98,80.855,83.33,775.0,65076.0
2015-04-10,81.68,80.81,80.49,81.44,765.0,50859.0
2015-04-13,81.49,80.61,80.61,80.9,536.0,58969.0
2015-04-14,81.31,81.03,80.32,80.87,831.0,97868.0
2015-04-15,81.47,80.35,79.79,81.47,1156.0,103638.0
2015-04-16,80.62,80.2,79.88,80.12,508.0,52066.0
2015-04-17,80.11,79.53,78.6,79.8,864.0,88357.0
