,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,PSB,91486000,57835000,-0.36787,2227114000,250000000,1.30472879,97472000,
1,PSB,92462000,57317000,0.27053,2237372000,250000000,1.1292556470000001,34991000,
2,PSB,93081000,59527000,0.41286000000000006,2239619000,250000000,1.242942796,26293000,
3,PSB,93452000,59728000,0.24961999999999998,2264537000,325000000,1.423615699,40190000,
4,PSB,94680000,62297000,0.55162,2186658000,250000000,1.636375141,29001000,
5,PSB,95973000,60444000,0.53873,2179487000,250000000,1.7338740830000001,28544000,
6,PSB,96218000,61091000,0.58087,1982082000,54000000,1.858160971,29680000,
7,PSB,97470000,64032000,0.7396199999999999,1999784000,60000000,1.9060196619999998,33679000,
8,PSB,97728000,64180000,0.47528000000000004,2119371000,230000000,1.9304854,36127000,
9,PSB,100061000,66197000,0.82978,1997193000,107000000,2.226665156,39931000,
10,PSB,99800000,67107000,0.86518,1998058000,101000000,2.241871552,37530000,
11,PSB,100481000,67057000,0.6662,2125731000,220000000,2.096716066,37765000,
12,PSB,101837000,66799000,0.68435,2100159000,130000000,1.8194301659999998,39808000,
13,PSB,103759000,68453000,0.70462,2000960000,2500000,2.047634269,59625000,
14,PSB,101824000,68200000,0.4309,2072315000,10000000,1.9701820019999998,83959000,
15,PSB,103808000,69729000,0.91924,2063377000,0,2.034909612,38329000,
16,PSB,104125000,70432000,0.85172,2068594000,0,2.430775185,44789000,
17,PSB,107825000,70999000,0.96157,2056619000,0,2.625363982,39548000,
18,PSB,107782000,73495000,1.0420399999999999,2057544000,0,2.83433843427917,41750000,
19,PSB,108064000,71545000,0.9591700000000001,2117734000,50000000,2.57066204190753,39490000,
