Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,38.93,38.2,38.08,38.66,525.0,59907.0
2015-02-17,38.7599,37.64,37.43,38.11,507.0,66474.0
2015-02-18,38.17,37.8,37.19,37.77,566.0,67383.0
2015-02-19,38.08,37.51,37.0,37.82,758.0,84971.0
2015-02-20,38.12,37.65,37.09,37.66,591.0,70764.0
2015-02-23,36.692,35.51,35.01,36.45,1342.0,144214.0
2015-02-24,35.78,35.04,34.76,35.31,2564.0,370624.0
2015-02-25,35.75,35.32,35.25,35.6,22610.0,4602305.0
2015-02-26,35.67,35.25,35.23,35.5,4681.0,765130.0
2015-02-27,36.09,35.81,34.3608,35.0,4149.0,746163.0
2015-03-02,36.93,36.42,35.6,35.9,3070.0,386488.0
2015-03-03,36.75,36.54,35.82,36.34,3526.0,422056.0
2015-03-04,36.6,36.3,36.07,36.4,2121.0,298282.0
2015-03-05,36.74,36.26,36.04,36.51,2255.0,341301.0
2015-03-06,36.4299,34.34,34.32,36.25,3016.0,620892.0
2015-03-09,35.05,34.87,34.0,34.3,2227.0,339942.0
2015-03-10,35.12,34.8,34.29,34.63,1616.0,314141.0
2015-03-11,35.46,35.26,34.618,34.75,1679.0,231013.0
2015-03-12,36.04,35.74,35.28,35.28,1546.0,215112.0
2015-03-13,36.15,35.92,35.49,35.75,1403.0,185858.0
2015-03-16,36.38,35.97,35.802,36.04,861.0,103267.0
2015-03-17,36.13,36.05,35.77,36.01,1176.0,205817.0
2015-03-18,36.42,36.2,35.35,35.84,1928.0,285042.0
2015-03-19,36.6874,36.17,35.95,35.95,1514.0,162207.0
2015-03-20,37.58,37.44,36.23,36.35,1760.0,312361.0
2015-03-23,37.89,37.86,37.07,37.34,1256.0,149968.0
2015-03-24,38.21,37.63,37.31,37.69,1891.0,225773.0
2015-03-25,37.945,36.8,36.62,37.74,1934.0,199662.0
2015-03-26,37.01,36.73,36.38,36.6,1420.0,132911.0
2015-03-27,37.52,37.15,36.87,37.12,1864.0,186185.0
2015-03-30,37.32,36.82,36.42,37.22,2473.0,303644.0
2015-03-31,37.12,36.41,36.2,36.63,1976.0,344334.0
2015-04-01,37.01,36.7,36.21,36.36,2426.0,432854.0
2015-04-02,37.24,37.06,36.4301,36.69,1359.0,143680.0
2015-04-06,38.1,37.78,37.2,37.37,1950.0,202275.0
2015-04-07,37.76,37.23,36.85,37.55,2703.0,293933.0
2015-04-08,37.78,37.72,37.07,37.21,1251.0,144695.0
2015-04-09,38.15,36.75,36.64,38.15,1448.0,142012.0
2015-04-10,37.16,36.5,36.28,36.86,839.0,84618.0
2015-04-13,36.81,36.55,36.07,36.07,1066.0,119005.0
2015-04-14,37.19,36.97,36.55,36.55,1208.0,242837.0
2015-04-15,37.33,36.95,36.9,36.95,1342.0,133890.0
2015-04-16,37.15,37.03,36.61,36.76,699.0,69763.0
2015-04-17,37.13,36.88,36.65,36.95,2444.0,253347.0
2015-04-20,37.42,37.34,36.74,36.97,2997.0,349179.0
2015-04-21,38.07,37.54,37.33,37.37,2163.0,227017.0
2015-04-22,38.0,37.79,37.47,37.62,1431.0,191342.0
2015-04-23,38.07,37.8,37.486,37.82,992.0,103515.0
2015-04-24,38.04,38.01,37.545,37.91,1356.0,137475.0
2015-04-27,38.55,37.96,37.7,38.24,1584.0,204781.0
2015-04-28,37.92,37.24,37.03,37.76,1841.0,195058.0
2015-04-29,36.92,36.52,35.98,36.82,2123.0,213585.0
2015-04-30,36.676,36.27,36.0,36.49,2144.0,218766.0
2015-05-01,37.5,37.22,36.35,36.35,2184.0,222350.0
2015-05-04,38.17,37.37,37.13,37.43,2719.0,307903.0
