,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,QTS,59563000.0,27776000.0,0.16685999999999998,1106559000.0,637229000.0,3.537238452,4627000.0,
1,QTS,61386000.0,26727000.0,0.13379000000000002,1185990000.0,537316000.0,2.852174614,4082000.0,
2,QTS,68117000.0,29997000.0,0.21056,1652028000.0,754063000.0,2.847966646,4632000.0,
3,QTS,88890000.0,37063000.0,0.19447,1705491000.0,820937000.0,2.968841657,7009000.0,
4,QTS,92690000.0,39289000.0,0.19964,1747339000.0,861569000.0,3.150675885,4603000.0,
5,QTS,94768000.0,40961000.0,0.17547000000000001,1799408000.0,944957000.0,4.36828365,5889000.0,
6,QTS,98687000.0,45886000.0,0.15887,1946685000.0,828216000.0,2.9589893469999997,5100000.0,
7,QTS,103465000.0,44669000.0,0.16679000000000002,1986587000.0,863062000.0,2.8112290539999996,5730000.0,
8,QTS,105443000.0,45706000.0,0.12367,2086470000.0,965826000.0,2.786553454,4806000.0,
9,QTS,105964000.0,45199000.0,0.11663,2130582000.0,1031988000.0,3.058615427,4877000.0,0.43799999999999994
10,QTS,107868000.0,45514000.0,0.09442,2206383000.0,1071224000.0,3.024726195,4040000.0,0.39299999999999996
11,QTS,113767000.0,49256000.0,0.16247999999999999,2258446000.0,1099315000.0,3.069326708,6507000.0,0.605
12,QTS,118911000.0,54142000.0,-0.0079,2415056000.0,1229929000.0,2.092990534,-14142000.0,
13,QTS,113697000.0,50818000.0,0.10608,2542888000.0,1235020000.0,2.087934781,-223000.0,
14,QTS,112277000.0,51785000.0,-0.00103,2654865000.0,1095374000.0,1.7458373219999999,-5431000.0,
15,QTS,112213000.0,50986000.0,-0.05981,2718858000.0,1176827000.0,1.55132617,-5282000.0,
16,QTS,112337000.0,55649000.0,0.08277000000000001,2861969000.0,1345117000.0,1.9263564780000002,6476000.0,
17,QTS,112689000.0,55328000.0,-0.028789999999999996,3004254000.0,1272793000.0,1.935490039,19558000.0,
18,QTS,119167000.0,57118000.0,-0.00785,3066953000.0,1393194000.0,2.21675746410399,7483000.0,
19,QTS,125255000.0,57308000.0,-0.03293,3123492000.0,1361500000.0,2.32180841386392,6637000.0,
20,QTS,,,,,,,,
