Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,67.13,66.77,65.83,67.11,5867.0,605363.0
2015-02-17,67.38,66.43,66.19,66.68,5115.0,620359.0
2015-02-18,67.3,67.27,65.92,66.55,6574.0,601113.0
2015-02-19,66.77,65.37,65.1,66.77,5257.0,549802.0
2015-02-20,66.22,66.1,65.06,65.06,4895.0,518549.0
2015-02-23,66.85,66.84,66.04,66.25,4455.0,499499.0
2015-02-24,66.546,65.56,65.16,66.5,6043.0,785105.0
2015-02-25,66.35,65.6,65.38,65.41,3539.0,352201.0
2015-02-26,65.71,64.75,64.43,65.55,3373.0,311608.0
2015-02-27,65.77,65.63,64.616,64.81,5272.0,684708.0
2015-03-02,66.81,66.22,65.46,65.55,4683.0,502505.0
2015-03-03,66.14,65.97,65.37,65.97,3791.0,333732.0
2015-03-04,66.13,65.28,65.07,65.9,3242.0,278475.0
2015-03-05,66.25,65.53,65.51,65.51,3871.0,382920.0
2015-03-06,64.73,63.57,63.38,64.73,6176.0,553712.0
2015-03-09,64.51,63.9,63.81,64.09,5264.0,583772.0
2015-03-10,64.32,63.89,63.565,63.78,5956.0,599099.0
2015-03-11,64.43,64.28,63.68,64.07,3887.0,453678.0
2015-03-12,65.19,65.13,64.19,64.5,5279.0,544506.0
2015-03-13,65.44,65.33,64.5,65.06,4238.0,422090.0
2015-03-16,66.53,66.36,65.4,65.53,4489.0,471710.0
2015-03-17,66.695,66.47,65.825,66.33,5443.0,622822.0
2015-03-18,68.14,68.07,65.95,66.5,8383.0,840063.0
2015-03-19,68.12,67.73,67.29,67.62,5638.0,611164.0
2015-03-20,69.93,69.9,67.84,67.98,8932.0,1574081.0
2015-03-23,70.16,69.61,69.3,69.9,6936.0,884696.0
2015-03-24,69.6,68.62,68.62,69.28,6225.0,764147.0
2015-03-25,68.91,67.43,67.16,68.58,8144.0,771359.0
2015-03-26,67.55,66.87,66.57,67.13,4962.0,521071.0
2015-03-27,67.54,67.46,66.74,67.0,5504.0,525404.0
2015-03-30,68.7,68.64,67.4,67.78,5274.0,430500.0
2015-03-31,68.92,68.04,67.94,68.49,4744.0,613345.0
2015-04-01,68.315,67.71,67.14,68.17,5144.0,406604.0
2015-04-02,68.68,68.41,67.57,67.68,4580.0,418694.0
2015-04-06,69.45,69.18,68.38,68.74,4915.0,618044.0
2015-04-07,69.15,67.67,67.67,69.05,4660.0,481739.0
2015-04-08,68.23,67.73,67.56,67.82,5316.0,682214.0
2015-04-09,67.68,66.16,66.0,67.68,5327.0,455724.0
2015-04-10,67.16,66.35,66.08,66.56,5036.0,421410.0
2015-04-13,66.57,65.97,65.97,66.17,2576.0,268855.0
2015-04-14,66.71,66.2,66.07,66.25,3063.0,255011.0
2015-04-15,66.58,65.71,65.7,66.24,5995.0,552061.0
2015-04-16,66.3,65.94,65.22,65.4,5336.0,396807.0
2015-04-17,66.04,65.31,64.865,65.55,4554.0,420432.0
2015-04-20,65.73,65.14,65.06,65.45,3886.0,334037.0
2015-04-21,66.026,65.65,65.2,65.47,3983.0,385223.0
2015-04-22,65.99,65.64,65.42,65.59,3210.0,264391.0
2015-04-23,65.95,65.82,65.288,65.5,2704.0,287871.0
2015-04-24,66.59,66.0,65.63,65.96,4357.0,421545.0
2015-04-27,66.81,66.39,65.81,66.2,6404.0,609862.0
2015-04-28,66.51,65.97,65.58,66.24,5041.0,411394.0
2015-04-29,65.86,64.33,63.92,65.15,8450.0,769786.0
2015-04-30,64.01,62.78,62.42,64.0,8173.0,757279.0
2015-05-01,63.67,63.19,62.76,62.83,6528.0,597055.0
2015-05-04,63.97,63.82,63.15,63.45,7472.0,705159.0
2015-05-05,63.6,62.2,62.05,63.47,6589.0,539968.0
2015-05-06,62.62,62.42,61.8,62.26,5965.0,499494.0
2015-05-07,63.7,63.63,62.11,63.31,6547.0,860915.0
2015-05-08,65.55,64.96,63.08,63.08,7421.0,839647.0
2015-05-11,65.09,64.04,63.56,64.56,7914.0,988624.0
2015-05-12,64.56,64.43,62.94,63.59,6795.0,751964.0
2015-05-13,65.21,63.92,63.77,64.75,7727.0,1022782.0
2015-05-14,65.46,65.43,63.83,64.15,4557.0,494556.0
2015-05-15,66.28,65.89,65.48,65.65,4475.0,360667.0
2015-05-18,65.6,65.39,64.6338,65.25,5339.0,504828.0
2015-05-19,65.49,65.07,64.98,65.08,3761.0,334854.0
2015-05-20,65.47,64.81,64.78,65.11,4578.0,400432.0
2015-05-21,65.41,64.56,64.14,65.0,4312.0,389206.0
2015-05-22,65.16,64.8,64.27,64.42,2734.0,238882.0
2015-05-26,64.58,64.04,63.84,64.15,4777.0,411924.0
2015-05-27,64.8,64.69,63.88,64.11,5299.0,525498.0
2015-05-28,64.96,64.04,63.95,64.53,6859.0,650078.0
2015-05-29,64.31,63.14,62.94,64.13,9031.0,1152404.0
2015-06-01,64.27,64.25,62.91,63.19,6112.0,560830.0
