,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,REG.O,140399000.0,86553000.0,0.2669,4118397000.0,1994727000.0,3.343231836,29635000.0,4.91
1,REG.O,141129000.0,88400000.0,0.34503,4098268000.0,1988700000.0,2.961542983,32089000.0,5.74
2,REG.O,142068000.0,89633000.0,0.57065,4170887000.0,2023652000.0,3.104132985,31242000.0,5.46
3,REG.O,146167000.0,86911000.0,0.26484,4182881000.0,1864285000.0,3.3986015239999996,21484000.0,5.79
4,REG.O,149628000.0,92468000.0,0.5080399999999999,4147373000.0,1835300000.0,3.527120169,40275000.0,6.56
5,REG.O,152412000.0,93144000.0,0.35645,4436602000.0,1984216000.0,3.977610593,39528000.0,5.72
6,REG.O,152768000.0,95246000.0,0.18566,4458288000.0,1627621000.0,3.54565041,991000.0,6.16
7,REG.O,159561000.0,92690000.0,0.56152,4488906000.0,1642420000.0,2.797256038,36809000.0,6.73
8,REG.O,196131000.0,55682000.0,-0.2085,11135972000.0,900662000.0,2.668342017,-21783000.0,-0.53
9,REG.O,261305000.0,172722000.0,0.3573,11192344000.0,3508026000.0,1.579430796,45127000.0,3.87
10,REG.O,262141000.0,176412000.0,0.35076,11118745000.0,3522130000.0,1.573581243,62682000.0,4.94
11,REG.O,264750000.0,168951000.0,0.4425,11145717000.0,3594977000.0,1.780473855,62620000.0,4.81
12,REG.O,276693000.0,184514000.0,0.40292,11233856000.0,3840268000.0,1.507083112,52660000.0,3.63
13,REG.O,281412000.0,188445000.0,0.41471,11181730000.0,3831500000.0,1.598610305,47841000.0,
14,REG.O,278310000.0,183015000.0,0.39748,11057030000.0,3717208000.0,1.674717723,69722000.0,
15,REG.O,284560000.0,183885000.0,0.37793000000000004,10944663000.0,3715212000.0,1.523351721,78905000.0,
16,REG.O,286257000.0,189030000.0,0.5149199999999999,11017604000.0,3683738000.0,1.771168164,90446000.0,
17,REG.O,275872000.0,179357000.0,0.36844,10947189000.0,3678465000.0,1.75613427,51728000.0,
18,REG.O,282276000.0,188456000.0,0.34289000000000003,11172950000.0,3887268000.0,1.8431669132895903,56965000.0,
19,REG.O,,,,,,1.6836159829113,,
