,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,RPT,59417000.0,35036000.0,0.05965,1935988000.0,902839000.0,1.653976296,9667000.0,
1,RPT,59735000.0,37295000.0,0.04432,1921319000.0,900644000.0,1.4576747419999998,7090000.0,
2,RPT,64060000.0,42035000.0,0.3499,2154450000.0,1097654000.0,1.3639939909999999,33666000.0,
3,RPT,68578000.0,41214000.0,0.04358,2136082000.0,1084819000.0,1.485917335,14686000.0,
4,RPT,66512000.0,41125000.0,0.047189999999999996,2106767000.0,1078690000.0,1.617486211,11845000.0,
5,RPT,65883000.0,41833000.0,0.0722,2065260000.0,1027526000.0,1.779336222,27361000.0,
6,RPT,64079000.0,39968000.0,0.042910000000000004,2033726000.0,998602000.0,1.6874851240000002,13542000.0,
7,RPT,64456000.0,40092000.0,0.07164,2061498000.0,1022289000.0,1.498908465,6915000.0,
8,RPT,67825000.0,35908000.0,0.0009,2226158000.0,1193378000.0,1.280848403,13098000.0,
9,RPT,67062000.0,41467000.0,0.05583,2218543000.0,1198480000.0,1.182646198,6105000.0,
10,RPT,65931000.0,39661000.0,0.03315,2113051000.0,1082576000.0,1.211150905,28933000.0,
11,RPT,64263000.0,37698000.0,0.02903,2030394000.0,1000237000.0,1.35933553,20923000.0,
12,RPT,62718000.0,38867000.0,0.06916,2045245000.0,1024510000.0,1.134951743,7286000.0,
13,RPT,69967000.0,38519000.0,0.032080000000000004,2034217000.0,1028825000.0,1.224753414,4302000.0,
14,RPT,64217000.0,37390000.0,0.10495,2043503000.0,1048135000.0,1.279709607,10125000.0,
15,RPT,63720000.0,25044000.0,-0.10412,1928440000.0,964124000.0,1.138453619,-4094000.0,
16,RPT,59708000.0,34747000.0,0.03826,1922051000.0,963408000.0,1.1793721129999999,10443000.0,
17,RPT,57361000.0,34057000.0,0.01693,1873894000.0,935198000.0,1.203672954,2893000.0,
18,RPT,58921000.0,34938000.0,0.04616,1865765000.0,934484000.0,1.3785796958066001,5445000.0,
19,RPT,,,,,,1.5579477200419598,,
