Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,28.28,28.02,26.19,27.69,13035.0,1836078.0
2015-02-17,27.61,27.3,27.055,27.38,13017.0,2503770.0
2015-02-18,27.4,27.36,26.96,27.24,8418.0,1331439.0
2015-02-19,27.29,27.06,27.015,27.27,6503.0,922031.0
2015-02-20,27.305,27.14,26.99,27.05,5360.0,844898.0
2015-02-23,27.28,27.21,27.11,27.15,4034.0,645584.0
2015-02-24,27.3,27.0,26.98,27.07,6814.0,964801.0
2015-02-25,27.37,27.18,26.973,27.11,5369.0,762281.0
2015-02-26,27.17,27.1,26.99,27.16,3963.0,567869.0
2015-02-27,27.47,27.41,27.11,27.12,4895.0,789987.0
2015-03-02,27.78,27.61,27.45,27.49,4543.0,597856.0
2015-03-03,28.0,27.51,27.47,27.53,6168.0,1056884.0
2015-03-04,27.47,27.25,27.1,27.47,4272.0,613171.0
2015-03-05,27.41,27.21,27.15,27.35,3159.0,422725.0
2015-03-06,27.1,27.03,26.5,26.93,7612.0,1144856.0
2015-03-09,27.23,27.13,26.99,27.06,5085.0,767746.0
2015-03-10,27.17,27.04,26.85,27.1,5932.0,913367.0
2015-03-11,27.2,27.03,26.87,27.01,5428.0,994359.0
2015-03-12,27.23,26.96,26.69,27.12,4937.0,648842.0
2015-03-13,26.78,26.35,26.35,26.68,4386.0,628126.0
2015-03-16,26.95,26.9,26.36,26.36,6241.0,910261.0
2015-03-17,27.055,26.84,26.78,26.89,4280.0,609619.0
2015-03-18,27.29,27.21,26.7,26.86,5059.0,685632.0
2015-03-19,27.275,27.12,27.0,27.08,3360.0,428415.0
2015-03-20,27.62,27.44,27.18,27.26,8370.0,3176547.0
2015-03-23,27.52,27.31,27.21,27.44,6239.0,825130.0
2015-03-24,27.62,27.35,27.28,27.3,3573.0,466543.0
2015-03-25,27.51,26.96,26.96,27.44,4901.0,701979.0
2015-03-26,27.0601,26.87,26.83,26.94,3990.0,500661.0
2015-03-27,27.01,27.0,26.75,26.85,3250.0,470887.0
2015-03-30,27.1,26.93,26.8,27.06,4490.0,550975.0
2015-03-31,27.19,26.96,26.67,26.85,5498.0,1080024.0
2015-04-01,27.028,26.41,26.36,26.92,7734.0,990250.0
2015-04-02,26.68,26.45,26.37,26.43,6197.0,803884.0
2015-04-06,26.85,26.78,26.27,26.27,8406.0,1401395.0
2015-04-07,26.8,26.54,26.505,26.77,4083.0,488344.0
2015-04-08,26.64,26.53,26.4,26.52,4875.0,804246.0
2015-04-09,26.5649,26.29,26.2298,26.46,4195.0,578400.0
2015-04-10,26.56,26.35,26.31,26.35,6098.0,709013.0
2015-04-13,26.61,26.37,26.27,26.27,4882.0,567157.0
2015-04-14,26.54,26.37,26.2925,26.39,5200.0,710652.0
2015-04-15,26.54,26.27,26.245,26.41,7142.0,1037154.0
2015-04-16,26.559,26.36,26.1,26.19,5206.0,706925.0
2015-04-17,26.407,26.35,26.19,26.28,5521.0,739589.0
2015-04-20,26.66,26.44,26.3375,26.38,4516.0,534998.0
2015-04-21,26.63,26.36,26.31,26.46,4416.0,480103.0
2015-04-22,26.395,26.36,26.25,26.35,4010.0,555203.0
2015-04-23,26.49,26.18,26.13,26.38,4917.0,684660.0
2015-04-24,26.2,26.12,26.03,26.14,5501.0,778513.0
2015-04-27,26.25,26.04,25.9,26.15,4042.0,561549.0
2015-04-28,26.12,25.97,25.88,25.99,4259.0,549140.0
2015-04-29,25.975,25.85,25.75,25.82,3631.0,442898.0
2015-04-30,25.862,25.59,25.55,25.76,5948.0,931866.0
2015-05-01,25.91,25.86,25.449,25.59,7718.0,1021510.0
2015-05-04,26.05,25.93,25.87,25.93,5744.0,820185.0
2015-05-05,25.97,25.59,25.5216,25.83,8686.0,1420818.0
2015-05-06,26.005,25.94,25.48,25.58,8262.0,1086770.0
2015-05-07,26.13,25.94,25.81,26.11,9483.0,1692606.0
2015-05-08,26.6,26.15,26.12,26.6,9617.0,1324148.0
2015-05-11,26.23,26.02,25.88,26.08,8805.0,1304209.0
2015-05-12,26.21,26.11,25.764,25.99,8458.0,1180640.0
2015-05-13,26.33,25.91,25.88,26.19,7274.0,955137.0
2015-05-14,26.12,26.04,25.92,25.97,5528.0,696748.0
2015-05-15,26.12,26.03,25.99,26.11,6364.0,801865.0
