,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,RYN,140305000,57481000,0.14017000000000002,2412550000,743017000,2.296185194,17747000,
1,RYN,115801000,30908000,-0.01214,2366321000,752353000,2.210973401,-1536000,
2,RYN,151657000,62179000,0.15715,2314460000,791233000,1.98821588,19669000,
3,RYN,137110000,45861000,0.0835,2315938000,830554000,2.099969808,10285000,
4,RYN,134843000,52003000,0.11807999999999999,2332137000,869640000,2.352307015,14472000,
5,RYN,261550000,141878000,0.87354,2632179000,1052307000,2.563397413,109821000,
6,RYN,171421000,81500000,0.32127,2671398000,1065040000,2.439331339,39355000,
7,RYN,248101000,89327000,0.35805,2685760000,1061881000,2.4012185440000002,48324000,
8,RYN,194491000,79068000,0.27383,2918910000,1070994000,2.467473201,33843000,
9,RYN,200964000,83956000,0.20355,2952794000,1065146000,2.373871604,26161000,
10,RYN,184419000,66581000,0.1924,2911719000,1030269000,2.369281267,24688000,
11,RYN,239722000,110475000,0.46855,2858481000,1025379000,2.616290735,64151000,
12,RYN,203196000,90270000,0.31033,2878372000,996145000,2.8481648039999996,40539000,
13,RYN,245906000,96363000,0.28084000000000003,2851062000,972285000,3.062775072,36258000,1.2
14,RYN,200890000,81684000,0.18162,2842215000,972426000,2.712598251,23432000,
15,RYN,166147000,44849000,0.015340000000000001,2780666000,972567000,2.24017239,1987000,
16,RYN,191546000,74960000,0.1918,2884210000,972707000,2.621590325,24794000,
17,RYN,184800000,59679000,0.14470999999999998,2861051000,972848000,2.543981021,18752000,
18,RYN,156417000,39728000,-0.00335,2767078000,972989000,2.43565852949602,-433000,
19,RYN,178800000,62400000,0.12389000000000001,2861000000,1055100000,2.97267878243725,16000000,
