,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,SITC.K,258825000.0,163875000.0,-0.50769,9211110000.0,5247085000.0,1.4665269369999998,-243787000.0,-0.43
1,SITC.K,257323000.0,164226000.0,-0.00458,9225587000.0,5260164000.0,1.325632723,18598000.0,-0.18
2,SITC.K,257135000.0,166191000.0,0.06724,9155479000.0,5223577000.0,1.3368663109999999,59555000.0,0.94
3,SITC.K,254788000.0,166704000.0,0.0022600000000000003,9097088000.0,5139537000.0,1.463874481,93466000.0,1.34
4,SITC.K,254423000.0,163505000.0,0.14046,8935627000.0,5031673000.0,1.548439886,45573000.0,0.79
5,SITC.K,257321000.0,166958000.0,0.10662,8821586000.0,4938807000.0,1.590754895,41058000.0,1.38
6,SITC.K,253800000.0,166846000.0,-0.10570999999999998,8721016000.0,4966379000.0,1.542642895,-60360000.0,1.55
7,SITC.K,240261000.0,155311000.0,0.042480000000000004,8197518000.0,4493968000.0,1.406038255,33741000.0,2.06
8,SITC.K,240421000.0,142029000.0,-0.4581,8092966000.0,4520926000.0,1.1671411409999999,-54241000.0,0.47
9,SITC.K,236187000.0,147537000.0,-0.0184,8270038000.0,4566666000.0,0.878514076,29611000.0,1.96
10,SITC.K,227424000.0,151431000.0,-0.22459,7640697000.0,4017531000.0,0.852717669,983000.0,1.85
11,SITC.K,217556000.0,139820000.0,-0.42806000000000005,7170073000.0,3849312000.0,0.853851928,-218038000.0,1.23
12,SITC.K,215068000.0,137173000.0,-0.26533,6910446000.0,3741520000.0,0.769963411,-54153000.0,
13,SITC.K,211516000.0,125102000.0,-0.050960000000000005,6704389000.0,3589749000.0,0.984388665,-3329000.0,
14,SITC.K,144095000.0,89266000.0,-0.020419999999999997,4620092000.0,2385002000.0,0.9187117890000001,-8931000.0,
15,SITC.K,136576000.0,81483000.0,-0.028999999999999998,4206331000.0,1884405000.0,1.035909443,180847000.0,
16,SITC.K,131022000.0,80326000.0,0.06435,4116023000.0,1824164000.0,1.193111655,35790000.0,
17,SITC.K,128657000.0,77184000.0,0.04767,4142742000.0,1858875000.0,1.164069749,17277000.0,
18,SITC.K,122525000.0,73762000.0,0.02086,4099861000.0,1833283000.0,1.34544703895838,23630000.0,
19,SITC.K,,,,,,1.26075061199784,,
