,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,SKT,105926000,56889000,0.21556,2128957000,1490195000,6.7187731920000004,34512000,14.59
1,SKT,107736000,61166000,0.25515,2188740000,1542878000,6.04117199,24481000,16.72
2,SKT,112906000,65161000,0.24661999999999998,2230799000,1567612000,6.228780799,44075000,19.86
3,SKT,112801000,65181000,0.33507,2314825000,1580312000,6.103694105,119463000,17.2
4,SKT,110805000,61366000,0.23139,2190606000,1475668000,6.066560495,27150000,12.69
5,SKT,111333000,64646000,0.76418,2379352000,1602847000,6.610556679,73417000,15.63
6,SKT,119137000,69567000,0.7098399999999999,2560919000,1724646000,5.966000232000001,69104000,16.31
7,SKT,124559000,71542000,0.35806,2526214000,1687866000,5.128532862,34360000,14.91
8,SKT,121368000,69569000,0.23800000000000002,2539770000,1699461000,4.698578242,22336000,12.91
9,SKT,119614000,70998000,0.233,2529493000,1729002000,3.778138947,29390000,14.44
10,SKT,120765000,72260000,0.21295999999999998,2541446000,1773981000,3.6940510989999997,-15219000,13.63
11,SKT,126487000,76168000,0.33297,2540105000,1763651000,4.333463577,31495000,18.0
12,SKT,123535000,70205000,0.24106999999999998,2505858000,1772055000,3.577047068,22838000,14.54
13,SKT,119711000,70768000,0.24283000000000002,2488597000,1768207000,3.9333191480000003,22969000,
14,SKT,124236000,73831000,0.29607,2421617000,1747660000,3.930918437,-21859000,
15,SKT,127199000,75253000,0.2,2384902000,1712918000,3.812912952,19707000,
16,SKT,123155000,68633000,0.19610999999999998,2353824000,1582784000,4.104507995,62331000,
17,SKT,115707000,62508000,0.14608,2343768000,1586309000,3.189667548,13727000,
18,SKT,118994000,67553000,0.25122,2324357000,1571923000,2.9505265058827503,23546000,
19,SKT,120492000,68130000,0.27704,2285211000,1569773000,2.89319432784783,-11749000,
