Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,129.88,128.59,127.925,129.34,3965.0,376738.0
2015-02-17,130.22,128.41,127.87,128.27,4373.0,400827.0
2015-02-18,130.19,129.93,127.7,128.66,6001.0,510451.0
2015-02-19,129.72,127.17,126.88,129.36,4289.0,406727.0
2015-02-20,128.85,128.64,126.38,126.74,5172.0,477682.0
2015-02-23,129.95,129.75,127.74,129.23,4439.0,536561.0
2015-02-24,129.48,126.88,125.81,129.48,6189.0,721240.0
2015-02-25,128.7,127.12,126.53,126.79,4233.0,390801.0
2015-02-26,127.32,125.76,125.5,127.32,4306.0,425140.0
2015-02-27,127.01,126.93,124.82,126.07,4867.0,630514.0
2015-03-02,129.1,127.89,126.77,127.21,4318.0,405927.0
2015-03-03,128.66,128.11,126.94,127.64,3669.0,326404.0
2015-03-04,128.55,127.36,126.74,127.69,4203.0,376987.0
2015-03-05,129.36,127.91,127.36,127.85,4524.0,384784.0
2015-03-06,126.53,123.54,123.11,126.53,6938.0,668956.0
2015-03-09,125.34,125.17,123.85,124.48,6281.0,630416.0
2015-03-10,125.66,124.23,123.85,124.82,9701.0,1200400.0
2015-03-11,124.8299,124.0,123.73,124.61,6026.0,663254.0
2015-03-12,127.4,127.35,124.77,124.95,5942.0,689371.0
2015-03-13,127.68,127.42,126.29,127.4,6533.0,580509.0
2015-03-16,129.39,128.39,127.6901,128.3,13415.0,1444652.0
2015-03-17,129.32,129.14,127.45,128.05,8645.0,1081336.0
2015-03-18,130.81,130.6,127.05,128.76,10352.0,996171.0
2015-03-19,131.52,130.42,129.84,130.13,8667.0,1289768.0
2015-03-20,135.81,134.0,130.86,130.87,17850.0,16474471.0
2015-03-23,135.09,133.42,132.87,133.18,10179.0,1072966.0
2015-03-24,134.02,131.63,131.24,133.1,8311.0,1044264.0
2015-03-25,132.1,129.28,128.71,131.83,7329.0,693739.0
2015-03-26,129.14,128.28,126.86,129.03,8670.0,858898.0
2015-03-27,128.55,127.74,127.18,127.85,5815.0,576442.0
2015-03-30,129.76,129.55,127.52,128.25,6625.0,601833.0
2015-03-31,129.94,128.38,128.15,129.16,5904.0,897696.0
2015-04-01,128.73,127.95,127.0,128.65,6274.0,594149.0
2015-04-02,130.09,129.88,127.72,127.72,5575.0,514622.0
2015-04-06,131.99,131.64,129.49,130.33,6518.0,563967.0
2015-04-07,131.57,129.48,129.43,131.4,7019.0,617453.0
2015-04-08,130.45,130.01,129.45,129.45,4874.0,470175.0
2015-04-09,130.02,127.1,127.0,129.72,5726.0,587707.0
2015-04-10,128.94,127.85,127.3,128.2,4492.0,378646.0
2015-04-13,128.27,127.54,127.37,127.37,3433.0,492355.0
2015-04-14,129.08,128.32,127.7,127.7,5598.0,492503.0
2015-04-15,129.89,126.87,126.78,128.39,4934.0,517524.0
2015-04-16,128.21,127.74,126.23,126.5,4270.0,321619.0
2015-04-17,127.81,126.68,125.6,127.55,5402.0,549858.0
2015-04-20,127.78,127.03,126.398,126.75,5289.0,560407.0
2015-04-21,128.68,128.12,127.43,127.43,6251.0,555708.0
2015-04-22,129.48,128.51,127.62,128.09,8104.0,828374.0
2015-04-23,129.44,127.35,126.13,128.51,7596.0,794391.0
2015-04-24,129.18,128.82,126.73,127.33,6870.0,829256.0
2015-04-27,130.24,129.15,128.56,129.24,6001.0,581773.0
2015-04-28,128.5,127.75,127.16,128.5,5658.0,503861.0
2015-04-29,127.54,124.06,123.76,126.77,7006.0,645860.0
2015-04-30,124.078,122.36,121.58,123.61,7631.0,799000.0
2015-05-01,124.31,122.72,122.525,122.78,7160.0,671334.0
2015-05-04,124.35,123.65,123.14,123.17,6213.0,529107.0
2015-05-05,123.67,120.19,119.82,123.08,7182.0,667159.0
2015-05-06,120.65,119.33,118.56,120.0,7766.0,600537.0
