,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,SLG,396299000,235622000,0.30401999999999996,17080732000,8110001000,1.782778499,47966000,2.59
1,SLG,409074000,254273000,-0.39271,17266958000,8226997000,1.50659881,-34228000,1.87
2,SLG,432066000,262013000,0.039689999999999996,19490569000,10171674000,1.487749895,169621000,-3.66
3,SLG,425390000,264809000,0.80989,19727646000,10316813000,1.497104021,107692000,0.13
4,SLG,455444000,288563000,0.09443,19585968000,8550081000,1.279484701,29607000,
5,SLG,617614000,452693000,-0.63039,17544223000,8003971000,1.407047671,140074000,
6,SLG,416681000,241549000,0.33776,15790942000,6399763000,1.4195877959999998,40844000,
7,SLG,374242000,203945000,0.16597,15857787000,6523798000,1.419639923,50606000,
8,SLG,377381000,213984000,0.10715,15877271000,6621790000,1.405879699,17939000,
9,SLG,398150000,237175000,0.12057000000000001,15309707000,6418734000,1.409348165,14810000,
10,SLG,374600000,206065000,0.3975,15109870000,6467716000,1.377051588,45457000,
11,SLG,361342000,201165000,-0.50541,13982904000,5897975000,1.381396419,34569000,
12,SLG,301695000,167791000,0.86439,13380870000,5465265000,1.3767965830000002,108353000,2.78
13,SLG,301116000,171430000,1.35755,13713928000,5900632000,1.3198192979999999,110140000,2.15
14,SLG,307545000,173167000,1.08579,13455004000,5584214000,1.287815835,94793000,2.12
15,SLG,317036000,178180000,-0.11135,12751358000,5585317000,1.038801831,-54640000,1.95
16,SLG,304255000,168279000,0.53822,13385774000,5933887000,1.213306735,50254000,
17,SLG,313024000,176686000,1.9416799999999999,13629941000,6126823000,1.100206903,167569000,
18,SLG,313634000,175093000,0.35989,13294984000,5880019000,1.1051162632762601,39627000,
19,SLG,308082000,167271000,0.4612,12766320000,5599168000,1.2527694464413899,23895000,
