Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,17.12,17.09,16.74,16.88,2898.0,410676.0
2015-02-17,17.16,17.04,16.97,16.99,1226.0,215121.0
2015-02-18,17.55,17.41,16.95,16.99,2278.0,362043.0
2015-02-19,17.49,17.35,17.19,17.36,2630.0,481509.0
2015-02-20,17.53,17.45,17.0,17.41,2325.0,378172.0
2015-02-23,17.74,17.65,17.27,17.48,2488.0,358407.0
2015-02-24,17.65,17.52,17.34,17.54,2821.0,388803.0
2015-02-25,17.65,17.62,17.39,17.63,2414.0,308555.0
2015-02-26,17.74,17.14,17.06,17.53,3358.0,576965.0
2015-02-27,17.38,16.84,16.72,17.05,4673.0,1336581.0
2015-03-02,17.08,16.99,16.8,16.84,2951.0,417318.0
2015-03-03,17.0,16.74,16.68,16.9,2994.0,395197.0
2015-03-04,16.78,16.76,16.43,16.64,4529.0,721356.0
2015-03-05,16.78,16.56,16.43,16.73,5625.0,2419181.0
2015-03-06,16.63,16.48,16.25,16.41,3300.0,435046.0
2015-03-09,16.61,16.58,16.4,16.42,2092.0,328757.0
2015-03-10,16.6,16.47,16.36,16.43,1744.0,259601.0
2015-03-11,16.45,16.25,16.24,16.42,1399.0,255228.0
2015-03-12,16.7,16.5,16.27,16.27,2856.0,541494.0
2015-03-13,16.6266,16.34,16.33,16.55,1319.0,222611.0
2015-03-16,16.6,16.39,16.3,16.43,2655.0,609925.0
2015-03-17,16.61,16.54,16.36,16.4,1892.0,365458.0
2015-03-18,16.715,16.67,16.32,16.59,2190.0,307571.0
2015-03-19,16.85,16.62,16.54,16.58,1240.0,193577.0
2015-03-20,17.12,17.04,16.5,16.65,3024.0,613209.0
2015-03-23,17.34,17.07,17.04,17.12,2063.0,312521.0
2015-03-24,17.1,17.03,16.89,17.1,1290.0,222931.0
2015-03-25,17.01,16.7,16.56,17.0,1155.0,192829.0
2015-03-26,16.915,16.56,16.53,16.64,1421.0,224929.0
2015-03-27,16.73,16.69,16.51,16.6,1375.0,164479.0
2015-03-30,16.92,16.82,16.65,16.65,1520.0,224523.0
2015-03-31,16.86,16.63,16.59,16.71,1182.0,168100.0
2015-04-01,16.81,16.63,16.52,16.68,1227.0,138905.0
2015-04-02,16.75,16.72,16.45,16.61,2818.0,440475.0
2015-04-06,16.81,16.6,16.58,16.75,1256.0,222338.0
2015-04-07,16.66,16.48,16.45,16.56,1525.0,229044.0
2015-04-08,16.69,16.66,16.3999,16.4,2461.0,381512.0
2015-04-09,16.69,16.55,16.49,16.66,1394.0,175026.0
2015-04-10,16.75,16.62,16.54,16.54,2177.0,273730.0
2015-04-13,16.65,16.54,16.45,16.65,2295.0,311651.0
2015-04-14,16.69,16.58,16.424,16.48,1671.0,267851.0
2015-04-15,16.66,16.61,16.3,16.45,2459.0,355243.0
2015-04-16,16.54,16.49,16.35,16.53,1624.0,201684.0
2015-04-17,16.5,16.39,16.335,16.49,2034.0,209429.0
2015-04-20,16.58,16.52,16.37,16.47,2217.0,337402.0
2015-04-21,16.65,16.64,16.51,16.55,1802.0,326839.0
2015-04-22,16.67,16.6,16.51,16.62,2253.0,639094.0
2015-04-23,16.68,16.6,16.5,16.56,1596.0,296332.0
2015-04-24,16.63,16.56,16.5,16.57,875.0,108646.0
2015-04-27,16.63,16.59,16.53,16.55,1459.0,189397.0
2015-04-28,16.62,16.61,16.5339,16.56,1844.0,342482.0
2015-04-29,16.6,16.45,16.41,16.55,916.0,112140.0
2015-04-30,16.45,16.16,16.11,16.45,2095.0,233393.0
2015-05-01,16.29,16.19,16.0042,16.16,1677.0,187117.0
2015-05-04,16.35,16.29,16.12,16.19,1673.0,196665.0
2015-05-05,16.24,15.75,15.7,16.22,2593.0,443402.0
2015-05-06,15.9,15.52,15.43,15.82,3642.0,477649.0
2015-05-07,16.29,16.06,15.58,15.8,2380.0,413253.0
2015-05-08,16.48,16.19,16.048,16.18,2478.0,331920.0
2015-05-11,16.25,15.98,15.98,16.2,2037.0,247442.0
2015-05-12,16.03,15.94,15.53,15.88,2510.0,325175.0
2015-05-13,15.94,15.76,15.7,15.94,3296.0,472372.0
2015-05-14,15.97,15.91,15.7,15.78,3045.0,329745.0
2015-05-15,16.26,16.21,15.835,15.88,3449.0,404525.0
