,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,SNR,70382000,16471000,-0.17836,1966159000,1223224000,1.703048766,-13284000,
1,SNR,73860000,17853000,-0.23069,2327736000,1614759000,1.4155494430000002,-21254000,
2,SNR,91200000,24229000,-0.2664,2632681000,1682855000,1.077398378,-21190000,
3,SNR,104985000,25972000,-0.18971,3055252000,2127184000,1.037838343,-17959000,
4,SNR,118433000,26490000,-0.24025,3017459000,2151317000,1.146984348,-22022000,
5,SNR,117945000,26270000,-0.25711999999999996,2942083000,2149645000,1.26496117,-21848000,
6,SNR,118541000,27181000,-0.32800999999999997,2908074000,2148013000,1.470206535,-27358000,
7,SNR,118457000,26561000,-0.24358000000000002,2866957000,2146292000,1.333201417,-20241000,
8,SNR,117495000,24425000,-0.1207,2821728000,2130387000,1.447063716,-2802000,
9,SNR,114973000,24525000,-0.14797000000000002,2772670000,2113276000,1.5070215180000002,-9895000,
10,SNR,114286000,21670000,-0.10131,2743774000,2095601000,1.4192453859999998,3121000,
11,SNR,112955000,22703000,-0.17164000000000001,2707017000,2089438000,1.25788237,-14539000,
12,SNR,106916000,23194000,0.08807000000000001,2508027000,1907928000,1.328321173,33521000,
13,SNR,99218000,17716000,-0.13965,2472747000,1902901000,1.319807602,-13349000,
14,SNR,108852000,12771000,-0.26100999999999996,2428315000,1951042000,1.1800067509999999,-39081000,
15,SNR,117760000,4546000,-0.23476,2401011000,1951884000,0.8912319240000001,-20299000,
16,SNR,118468000,12166000,-0.5070399999999999,2286258000,1884882000,1.3884588759999998,-86626000,
17,SNR,117619000,11582000,-0.1383,2245868000,1882636000,1.8342124780000002,-11193000,
18,SNR,116020000,12208000,-0.11703,2214917000,1871991000,2.0238119974537,-9586000,
19,SNR,115586000,12381000,0.046189999999999995,2203871000,1836062000,2.17720074368193,28849000,
