,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,SPG,1216235000,901838000,1.06784,30482454000,21694055000,11.938039207000001,539968000,19.3
1,SPG,1349110000,1014967000,1.47055,30290458000,22070777000,10.557756816,473778000,25.38
2,SPG,1320137000,963027000,1.35742,30848230000,22629054000,12.304866931,420843000,28.36
3,SPG,1380621000,1028255000,1.57073,30565182000,22416682000,13.166914110999999,393131000,34.75
4,SPG,1336715000,1002700000,1.4812,31398498000,22975821000,14.371927892999999,481829000,30.82
5,SPG,1315380000,984083000,1.43963,31379783000,22923941000,14.619602342,456223000,34.21
6,SPG,1357168000,1005591000,1.44855,31668848000,23078515000,14.076564962,505578000,34.55
7,SPG,1425966000,1056400000,1.6676,31103578000,22977104000,12.061053437,395265000,41.07
8,SPG,1345763000,1012420000,1.52724,30946093000,23149053000,12.494807565,478570000,36.77
9,SPG,1361548000,1026008000,1.62276,30965966000,23422685000,12.295725962999999,382824000,40.02
10,SPG,1403638000,1026795000,1.6528200000000002,31032410000,23410357000,13.429735305,514617000,42.81
11,SPG,1427692000,1094468000,1.8416,32257638000,24632463000,14.487138726,571950000,48.3
12,SPG,1394182000,1036605000,1.56279,31017860000,23647623000,13.029412468,621488000,43.96
13,SPG,1385059000,1067378000,1.7369400000000002,30843140000,23505002000,15.033912461,547838000,
14,SPG,1404021000,1058447000,1.7985099999999998,31079693000,23678264000,16.212944476,557101000,
15,SPG,1460743000,1094194000,1.83943,30686223000,23305535000,15.356367127999999,713630000,
16,SPG,1452834000,1090256000,1.7751299999999999,30841776000,23185965000,17.079624389,549309000,
17,SPG,1397186000,1052461000,1.59582,30732915000,23324679000,15.364285425,496158000,
18,SPG,1416554000,1048661000,1.73822,33844226000,26643879000,16.42090880317,545088000,
19,SPG,1488615000,1101186000,2.03471,31231630000,24163230000,17.104098882302598,511028000,
