Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,209.84,209.78,208.76,209.07,280697.0,93670430.0
2015-02-17,210.32,210.11,209.1,209.4,253583.0,76968199.0
2015-02-18,210.22,210.13,209.3401,209.66,240765.0,80652941.0
2015-02-19,210.42,209.98,209.24,209.41,247538.0,91462491.0
2015-02-20,211.33,211.239,208.73,209.48,354451.0,140896392.0
2015-02-23,211.21,211.209,210.48,210.94,191302.0,74411054.0
2015-02-24,212.05,211.81,210.76,211.12,231052.0,72472263.0
2015-02-25,212.24,211.63,211.22,211.66,212765.0,73061687.0
2015-02-26,211.71,211.38,210.65,211.52,224123.0,72697868.0
2015-02-27,211.58,210.66,210.6,211.26,252981.0,108075972.0
2015-03-02,212.06,211.99,210.72,210.78,235398.0,87491428.0
2015-03-03,212.054,211.12,210.08,211.47,281608.0,110325809.0
2015-03-04,210.49,210.2301,209.06,210.4,292889.0,114497192.0
2015-03-05,210.8,210.46,209.85,210.62,220559.0,76872957.0
2015-03-06,209.94,207.5,207.1,209.42,445090.0,188127982.0
2015-03-09,208.79,208.36,207.5459,207.74,252650.0,89818893.0
2015-03-10,206.81,204.98,204.93,206.71,418949.0,157121263.0
2015-03-11,205.5,204.5,204.4,205.29,323622.0,110145718.0
2015-03-12,207.175,207.1,205.2,205.26,287133.0,93993523.0
2015-03-13,207.9338,205.8272,204.58,206.77,435009.0,162410893.0
2015-03-16,208.69,208.58,205.8641,206.71,307972.0,136099192.0
2015-03-17,208.42,207.96,206.98,207.69,281025.0,94510422.0
2015-03-18,211.27,210.46,206.62,207.39,645002.0,228808524.0
2015-03-19,210.4697,209.5,209.03,209.96,333322.0,117917302.0
2015-03-20,211.02,210.41,209.4903,209.71,355809.0,177715081.0
2015-03-23,211.11,210.0,210.0,210.42,209308.0,71784536.0
2015-03-24,210.4,208.82,208.74,209.85,253044.0,77805321.0
2015-03-25,209.35,205.76,205.71,209.07,438834.0,159521708.0
2015-03-26,206.37,205.27,204.12,204.96,423303.0,153067241.0
2015-03-27,205.95,205.74,204.9,205.13,312928.0,118938966.0
2015-03-30,208.61,208.25,206.96,206.98,279445.0,96180365.0
2015-03-31,208.1,206.43,206.36,207.26,315297.0,126768703.0
2015-04-01,206.42,205.7,204.51,206.39,418258.0,137303584.0
2015-04-02,206.98,206.435,205.4,205.62,273369.0,86900906.0
2015-04-06,208.45,207.83,205.21,205.37,292610.0,114368155.0
2015-04-07,208.76,207.28,207.24,207.855,234814.0,81236337.0
2015-04-08,208.51,207.975,207.08,207.55,317250.0,89351939.0
2015-04-09,209.18,208.9,207.19,207.78,283392.0,85548854.0
2015-04-10,210.09,210.04,208.96,209.2,210919.0,72722915.0
2015-04-13,210.63,209.09,209.03,209.87,211405.0,74436594.0
2015-04-14,209.71,209.49,208.1,208.85,246473.0,75099866.0
2015-04-15,211.04,210.43,209.95,210.05,265322.0,99529320.0
2015-04-16,210.98,210.37,209.7928,210.03,220694.0,68934864.0
2015-04-17,209.23,207.95,207.01,208.94,481745.0,191113230.0
2015-04-20,210.25,209.85,208.96,209.06,258587.0,92189481.0
2015-04-21,210.86,209.6,209.24,210.67,236915.0,72559831.0
2015-04-22,210.85,210.63,208.9,210.01,254542.0,78264616.0
2015-04-23,211.94,211.16,210.01,210.15,294362.0,102585942.0
2015-04-24,211.97,211.6499,211.11,211.66,199292.0,61327387.0
2015-04-27,212.48,210.77,210.54,212.33,259555.0,79358126.0
2015-04-28,211.5,211.44,209.3301,210.74,316218.0,86863531.0
2015-04-29,211.29,210.57,209.6,210.37,394415.0,125684903.0
2015-04-30,210.35,208.46,207.62,209.88,471148.0,161304890.0
2015-05-01,210.77,210.72,209.28,209.4,314312.0,103399711.0
2015-05-04,212.02,211.32,211.1,211.23,238876.0,70927235.0
2015-05-05,211.46,208.9,208.73,211.03,395864.0,113326156.0
2015-05-06,209.93,208.04,206.76,209.56,444773.0,135060151.0
2015-05-07,209.38,208.87,207.52,207.92,308399.0,88244940.0
2015-05-08,211.86,211.62,210.78,210.88,372275.0,155877260.0
2015-05-11,211.89,210.605,210.52,211.57,265542.0,75708065.0
