,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,STAY.O,282692000,118806000,-0.27697,4449142000,2880593000,4.981756682,-58305000,
1,STAY.O,287591000,119099000,0.10562,4510772000,2929128000,4.669494935,21548000,
2,STAY.O,340311000,167814000,0.28391,4538700000,2903444000,3.903243619,57983000,
3,STAY.O,360516000,177097000,0.21663000000000002,4561780000,2817423000,3.618408332,37656000,
4,STAY.O,296335000,129216000,-0.54751,4528900000,2783590000,3.791045915,-4147000,
5,STAY.O,287558000,117064000,0.08342999999999999,4432784000,2766771000,3.466587947,17046000,
6,STAY.O,332789000,159723000,0.30124,4406586000,2768812000,3.149200719,60729000,
7,STAY.O,354521000,180051000,0.24289000000000002,4256936000,2587901000,3.482506351,46556000,
8,STAY.O,295725000,134963000,-0.24936,4180304000,2606476000,3.9187987189999998,-54399000,
9,STAY.O,290991000,123025000,0.16819,4126730000,2595094000,4.742890573,23101000,
10,STAY.O,338363000,166077000,0.30619,4071151000,2544643000,4.718876525,51775000,
11,STAY.O,350866000,175232000,0.28008,4111154000,2543258000,4.276925122,53876000,
12,STAY.O,302505000,141153000,-0.26588,4076005000,2541901000,4.865357836,-49905000,
13,STAY.O,297767000,128262000,0.10463,3991214000,2481301000,5.433133977000001,14852000,
14,STAY.O,336501000,166003000,0.34946,3984586000,2480080000,4.855213873,65056000,
15,STAY.O,351076000,170083000,0.36627,4032572000,2478861000,3.458230518,71902000,
16,STAY.O,289715000,124040000,-0.20785,3924210000,2402637000,4.298284651,-38946000,
17,STAY.O,277669000,112731000,0.11821,3922886000,2405095000,4.003144538,21934000,
18,STAY.O,323657000,149468000,0.28569,3939565000,2404057000,3.31656497812144,53497000,
19,STAY.O,332695000,152794000,0.2636,4155377000,2642907000,3.3624114896937995,41071000,
