Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,67.26,66.58,65.5617,67.26,2358.0,249195.0
2015-02-17,67.37,66.89,66.17,66.3,1978.0,204317.0
2015-02-18,67.44,67.32,65.71,66.9,3295.0,406921.0
2015-02-19,67.72,66.07,65.78,67.25,2736.0,257743.0
2015-02-20,66.89,66.7,65.62,65.96,2588.0,260886.0
2015-02-23,68.18,68.05,66.62,66.62,1953.0,216990.0
2015-02-24,68.35,67.32,65.6,67.01,3892.0,423832.0
2015-02-25,67.65,67.16,66.27,67.32,3302.0,341860.0
2015-02-26,67.5,67.33,65.95,67.05,2314.0,238632.0
2015-02-27,67.88,67.59,66.54,67.26,2323.0,313890.0
2015-03-02,69.06,67.49,67.14,67.89,2088.0,189543.0
2015-03-03,67.9,67.6,66.47,67.44,1856.0,182392.0
2015-03-04,67.89,67.04,66.595,67.58,3893.0,539545.0
2015-03-05,67.83,67.0,66.92,67.28,2261.0,244275.0
2015-03-06,66.48,66.37,65.06,66.14,4394.0,564757.0
2015-03-09,67.32,66.96,66.25,66.7,3317.0,415215.0
2015-03-10,67.2,66.59,64.83,66.39,2604.0,372567.0
2015-03-11,67.13,66.79,66.08,66.49,2691.0,281003.0
2015-03-12,68.59,67.98,66.81,67.26,2626.0,347357.0
2015-03-13,68.11,67.62,67.3501,68.06,2050.0,214522.0
2015-03-16,68.495,67.57,66.8,67.95,3494.0,398970.0
2015-03-17,68.09,67.89,67.07,67.28,2872.0,325096.0
2015-03-18,69.08,68.98,66.88,67.59,4463.0,405708.0
2015-03-19,69.72,68.97,68.42,68.74,2208.0,232052.0
2015-03-20,71.4,71.27,69.12,69.18,4428.0,865794.0
2015-03-23,71.21,70.19,70.17,71.1,2227.0,258691.0
2015-03-24,70.4299,69.19,69.16,69.93,2101.0,229809.0
2015-03-25,69.47,67.66,67.49,69.37,2089.0,224421.0
2015-03-26,67.78,66.97,66.81,67.54,1791.0,165022.0
2015-03-27,67.0317,66.3,65.78,66.58,2553.0,250768.0
2015-03-30,67.47,67.14,66.2601,66.65,2928.0,304154.0
2015-03-31,67.6,66.72,66.39,67.01,1880.0,231614.0
2015-04-01,67.03,66.04,65.67,66.44,2075.0,180171.0
2015-04-02,66.65,66.4,65.79,66.09,1822.0,170312.0
2015-04-06,67.35,66.92,66.33,66.33,1862.0,230226.0
2015-04-07,66.9,65.42,65.4,66.72,1608.0,116051.0
2015-04-08,65.46,64.97,64.8,65.33,1702.0,160327.0
2015-04-09,65.02,63.08,62.93,65.0,1843.0,179411.0
2015-04-10,64.08,63.28,62.89,63.45,2051.0,197303.0
2015-04-13,64.1,63.42,63.13,63.13,1111.0,131976.0
