,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,SUI,122002000,59691000,-0.18748,2937692000,1832087000,3.559505086,-10676000,
1,SUI,155200000,83245000,0.14301,3844641000,2248607000,2.441738281,11984000,
2,SUI,165938000,85496000,0.32378,4032849000,2381563000,2.71680115,17743000,
3,SUI,185355000,96186000,0.23053,4114603000,2557550000,2.9847660119999997,37572000,
4,SUI,168238000,83580000,-0.06257,4181799000,2336297000,2.717825897,93120000,
5,SUI,174644000,90220000,0.18263,4562886000,2362450000,2.614594754,11502000,
6,SUI,190799000,94882000,0.09008,5823191000,3340329000,2.560887123,-4343000,
7,SUI,249701000,123276000,0.33554,5904706000,3102993000,2.3268023490000003,22351000,
8,SUI,218634000,105850000,0.02418,5870776000,3110042000,2.489100986,1811000,
9,SUI,234400000,122395000,0.31589,5902447000,3140547000,2.739487048,24457000,
10,SUI,237899000,114324000,0.18933,6178713000,3018653000,2.474916121,15659000,
11,SUI,268245000,132524000,0.32568,6157836000,3003427000,2.687271148,27182000,
12,SUI,242026000,119408000,0.19271,6111957000,3079238000,2.756115275,9466000,
13,SUI,257975000,132281000,0.38188,6149653000,3129440000,2.990640717,31507000,
14,SUI,271426000,129607000,0.28603,6492348000,3364081000,3.0749411639999997,21943000,
15,SUI,323413000,158111000,0.57094,6653726000,3004929000,2.74396539,47644000,
16,SUI,273945000,133610000,0.13595,6710026000,3124303000,3.2508273589999996,10621000,
17,SUI,287330000,147714000,0.40437,7098662000,3452217000,3.4940563989999998,36086000,
18,SUI,312445000,151484000,0.42291999999999996,7222084000,3111909000,3.7390577652385404,42531000,
19,SUI,362443000,179935000,0.63547,7397854000,3275493000,3.7896738210556604,59029000,
