Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,75.93,74.67,74.25,74.67,12468.0,2070235.0
2015-02-17,76.75,75.0,74.7,74.7,11618.0,1386661.0
2015-02-18,75.36,74.98,74.04,74.79,12334.0,1578439.0
2015-02-19,75.03,73.69,73.52,74.76,5389.0,588491.0
2015-02-20,74.31,73.87,73.45,73.58,7053.0,1036115.0
2015-02-23,74.86,74.5,73.962,74.02,6204.0,726347.0
2015-02-24,74.16,73.19,72.88,74.16,5485.0,622567.0
2015-02-25,73.89,72.55,72.46,73.2,6910.0,766045.0
2015-02-26,72.86,72.43,71.94,72.6,4799.0,477668.0
2015-02-27,72.71,72.34,71.7005,72.34,5497.0,725166.0
2015-03-02,73.9599,73.15,72.4,72.56,5363.0,671847.0
2015-03-03,73.4,73.28,72.56,72.99,6514.0,825699.0
2015-03-04,73.42,72.29,72.06,73.03,4898.0,528169.0
2015-03-05,74.216,73.73,72.91,73.08,8482.0,1080958.0
2015-03-06,73.04,72.05,71.58,72.19,9592.0,1496905.0
2015-03-09,74.41,74.36,72.06,72.3,9531.0,1134456.0
2015-03-10,76.64,76.44,74.13,74.56,14332.0,1760964.0
2015-03-11,79.35,77.19,77.04,77.81,9631.0,1595938.0
2015-03-12,78.03,77.12,76.75,77.66,6447.0,732833.0
2015-03-13,77.81,77.8,76.44,77.16,6292.0,929698.0
2015-03-16,79.28,79.1,77.56,77.9,7330.0,1012733.0
2015-03-17,79.8,79.51,78.51,79.0,6772.0,949546.0
2015-03-18,80.92,80.43,78.61,79.0,9079.0,1263880.0
2015-03-19,81.26,80.31,80.17,80.17,6104.0,1536883.0
2015-03-20,80.77,80.53,80.11,80.42,9156.0,1606808.0
2015-03-23,81.13,80.42,80.19,80.51,5250.0,667343.0
2015-03-24,80.72,79.42,79.4,80.23,5965.0,886645.0
2015-03-25,79.66,77.53,77.2303,79.51,8957.0,1008743.0
2015-03-26,77.58,76.97,76.73,77.31,6324.0,710362.0
2015-03-27,77.57,76.75,76.55,77.1,6446.0,875851.0
2015-03-30,77.85,77.84,76.79,77.07,7572.0,941016.0
2015-03-31,78.06,77.13,76.91,77.36,4618.0,610289.0
2015-04-01,77.34,76.47,75.98,77.13,7718.0,619590.0
2015-04-02,77.71,76.95,76.39,76.5,6014.0,655448.0
