,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,TCO,128989000,71083000,0.46989,3162452000.0,2057403000.0,15.341643794000001,35898000,35.44
1,TCO,131973000,68720000,0.37706999999999996,3179277000.0,2212461000.0,17.475132728,29508000,37.04
2,TCO,139983000,79848000,0.49388000000000004,3494524000.0,2594073000.0,26.306156019,36698000,73.96
3,TCO,156227000,82631000,0.42751999999999996,3546510000.0,2627088000.0,40.847614377,32023000,74.43
4,TCO,139455000,73557000,0.40835,3729381000.0,2843155000.0,38.033424155,30909000,71.48
5,TCO,158890000,89904000,0.57525,3786818000.0,3039120000.0,47.583280255,41027000,
6,TCO,148021000,77530000,0.31048000000000003,4011164000.0,3203697000.0,49.687421898000004,25073000,
7,TCO,166191000,81168000,0.48446000000000006,4010912000.0,3255512000.0,52.599486966,35604000,
8,TCO,149083000,75223000,0.31434,4044857000.0,3287968000.0,55.350012101000004,23525000,54.47
9,TCO,154676000,78048000,0.22895,4061738000.0,3351212000.0,56.755873932,19844000,-57.77
10,TCO,153222000,73426000,0.09802999999999999,4107958000.0,3438307000.0,78.260354072,10723000,-43.74
11,TCO,172184000,85189000,0.44306999999999996,4214592000.0,3555228000.0,274.867753774,26613000,-63.07
12,TCO,161492000,87694000,0.29956,4245995000.0,3640128000.0,155.665534053,24973000,
13,TCO,152769000,79720000,0.24971,4362189000.0,3795067000.0,518.1202290880001,21691000,
14,TCO,159120000,91212000,0.34386,4335719000.0,3793278000.0,-171.684964667,27359000,
15,TCO,167489000,85835000,0.061270000000000005,4344106000.0,3830195000.0,-57.728038131000005,9463000,
16,TCO,160208000,89338000,0.25686,4451394000.0,3846501000.0,-34.771510953,21508000,
17,TCO,161604000,80145000,0.10296,4485098000.0,3812538000.0,-21.392994819000002,12637000,
18,TCO,162506000,89765000,3.5306300000000004,4536852000.0,3634165000.0,-23.295764514454397,221742000,
19,TCO,176736000,94327000,0.25206999999999996,,,33.4290787847246,-26411000,
