Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,18.72,18.72,18.72,18.72,2.0,101.0
2015-02-18,19.23,19.23,18.92,18.97,14.0,1301.0
2015-02-19,18.83,18.75,18.75,18.83,5.0,325.0
2015-02-20,18.8,18.8,18.755,18.755,6.0,495.0
2015-02-23,18.99,18.99,18.98,18.98,6.0,354.0
2015-02-24,18.75,18.6,18.6,18.75,9.0,463.0
2015-02-25,,,,,1.0,24.0
2015-02-26,18.7099,18.7099,18.42,18.6,31.0,4367.0
2015-02-27,18.6,18.5901,18.5901,18.6,9.0,840.0
2015-03-02,,,,,1.0,56.0
2015-03-03,18.78,18.6,18.53,18.67,66.0,5151.0
2015-03-04,,,,,2.0,56.0
2015-03-05,18.62,18.62,18.46,18.46,19.0,1368.0
2015-03-06,18.555,18.0,17.891,18.36,28.0,2473.0
2015-03-09,18.05,18.05,18.03,18.05,10.0,1005.0
2015-03-10,18.05,18.01,18.01,18.05,12.0,793.0
2015-03-11,18.15,18.15,18.15,18.15,2.0,101.0
2015-03-12,18.571,18.571,18.52,18.52,11.0,530.0
2015-03-13,18.74,18.74,18.74,18.74,4.0,513.0
2015-03-16,18.98,18.775,18.772,18.98,12.0,650.0
2015-03-17,18.58,18.58,18.58,18.58,15.0,515.0
2015-03-18,,,,,4.0,79.0
2015-03-19,18.88,18.81,18.1,18.1,33.0,4960.0
2015-03-20,19.19,18.3,18.3,19.031,28.0,5727.0
2015-03-23,19.21,19.21,18.32,18.32,31.0,3371.0
2015-03-24,19.03,18.97,18.97,19.03,6.0,624.0
2015-03-25,18.8101,18.81,18.69,18.8101,12.0,1025.0
2015-03-26,18.64,18.6,18.6,18.61,30.0,2525.0
2015-03-27,18.62,18.62,18.62,18.62,3.0,122.0
2015-03-30,19.07,19.07,18.82,18.82,6.0,420.0
2015-03-31,19.0,18.85,18.54,18.54,12.0,3265.0
2015-04-01,18.6,18.6,18.6,18.6,5.0,313.0
2015-04-02,,,,,6.0,42.0
2015-04-06,18.6,18.6,18.52,18.52,8.0,521.0
2015-04-07,18.6,18.42,18.42,18.6,29.0,2851.0
2015-04-08,18.3,18.3,18.2501,18.2501,3.0,705.0
2015-04-09,17.79,17.79,17.79,17.79,12.0,545.0
2015-04-10,17.8,17.8,17.8,17.8,8.0,313.0
2015-04-13,17.6,17.6,17.555,17.6,13.0,2317.0
2015-04-14,17.81,17.67,17.39,17.81,35.0,4234.0
2015-04-15,17.76,17.62,17.59,17.59,21.0,3325.0
2015-04-16,17.71,17.584,17.56,17.56,9.0,1445.0
2015-04-17,17.8,17.72,17.53,17.8,55.0,5112.0
2015-04-20,17.96,17.7201,17.7201,17.96,42.0,4275.0
2015-04-21,17.8399,17.73,17.57,17.72,48.0,5726.0
2015-04-22,17.79,17.75,17.54,17.54,29.0,2868.0
2015-04-23,17.8,17.68,17.58,17.58,33.0,3176.0
2015-04-24,17.77,17.76,17.59,17.59,16.0,2211.0
2015-04-27,17.92,17.8,17.8,17.92,7.0,784.0
2015-04-28,18.08,17.9,17.89,18.08,6.0,842.0
