,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,UBP,28506000,16233000,0.11375999999999999,880870000,306341000,1.559425865,6011000,
1,UBP,30050000,16252000,0.11256,875047000,308302000,1.2656971259999998,7247000,
2,UBP,28819000,17308000,0.14440999999999998,892628000,324236000,1.273139861,8441000,
3,UBP,27937000,15851000,0.10737000000000001,861075000,283207000,1.307108374,27565000,
4,UBP,27451000,15277000,0.08616,862783000,288750000,1.410178589,6447000,
5,UBP,29166000,16926000,0.14038,862243000,292756000,1.679196045,8339000,
6,UBP,28276000,16970000,0.14827,906645000,273946000,1.46315938,8610000,
7,UBP,31899000,19591000,0.18552000000000002,931324000,281016000,1.58761353,10320000,
8,UBP,28967000,16091000,0.09052,944821000,294500000,1.3573146999999999,6982000,
9,UBP,29992000,16842000,0.12312000000000001,992670000,284329000,1.270071217,27672000,
10,UBP,31874000,20202000,0.17903,1000176000,288791000,1.3992392169999999,9631000,
11,UBP,32729000,19178000,0.0096,996713000,301071000,1.40181846,8648000,
12,UBP,32995000,18385000,0.12974000000000002,995572000,301475000,1.3054865420000001,7984000,
13,UBP,37005000,23205000,0.25313,1021563000,327602000,1.5224002209999998,12660000,
14,UBP,32809000,19182000,0.14712999999999998,1016475000,320946000,1.44601544,8642000,
15,UBP,32543000,18921000,0.13598,1008233000,322396000,1.305421172,8181000,
16,UBP,34455000,19269000,0.1531,1018458000,336724000,1.4370568190000002,8917000,
17,UBP,34293000,19627000,0.15164,1001538000,327661000,1.479129822,8860000,
18,UBP,34549000,20772000,0.1794,994221000,323991000,1.6915753505598998,10333000,
19,UBP,34288000,20294000,0.09502999999999999,1072304000,381606000,1.77294226615645,9170000,
