Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,32.68,32.45,32.145,32.68,10033.0,1294402.0
2015-02-17,32.72,32.42,32.31,32.45,13507.0,1843012.0
2015-02-18,32.725,32.67,32.19,32.45,18199.0,2233213.0
2015-02-19,32.58,31.83,31.73,32.57,12004.0,1567639.0
2015-02-20,32.23,32.19,31.69,31.77,10084.0,1382562.0
2015-02-23,32.565,32.56,32.25,32.25,11347.0,1489798.0
2015-02-24,32.5,31.62,31.45,32.5,13520.0,1787264.0
2015-02-25,32.265,31.8,31.63,31.66,12034.0,1714216.0
2015-02-26,31.84,31.49,31.41,31.81,11638.0,1445951.0
2015-02-27,31.99,31.94,31.41,31.52,13073.0,2075287.0
2015-03-02,32.53,32.34,31.81,31.92,12811.0,1657176.0
2015-03-03,32.34,32.22,31.97,32.21,11627.0,1616054.0
2015-03-04,32.34,32.2,32.065,32.23,12603.0,1726182.0
2015-03-05,32.55,32.25,32.07,32.07,14954.0,2052361.0
2015-03-06,31.64,31.6,31.4,31.6,21588.0,2832741.0
2015-03-09,31.95,31.89,31.57,31.72,17285.0,2289281.0
2015-03-10,31.97,31.76,31.66,31.81,17266.0,3910218.0
2015-03-11,32.015,31.95,31.66,31.77,12334.0,1736753.0
2015-03-12,32.81,32.75,32.06,32.11,12487.0,2967016.0
2015-03-13,33.06,33.0,32.6,32.83,15621.0,2525524.0
2015-03-16,33.82,33.69,33.17,33.36,14730.0,2074534.0
2015-03-17,33.76,33.65,33.42,33.61,13536.0,1851559.0
2015-03-18,34.45,34.34,33.51,33.64,14821.0,2102682.0
2015-03-19,34.62,34.25,34.16,34.2,12978.0,1997325.0
2015-03-20,35.21,35.16,34.36,34.5,17743.0,3960531.0
2015-03-23,35.495,35.22,35.02,35.16,9927.0,1339687.0
2015-03-24,35.26,34.75,34.74,35.15,9291.0,1593670.0
2015-03-25,34.89,33.94,33.9,34.84,9682.0,1180991.0
2015-03-26,34.11,33.77,33.65,33.92,8095.0,1121159.0
2015-03-27,34.15,33.91,33.7,33.79,12795.0,2101487.0
2015-03-30,34.43,34.4,33.805,34.09,12646.0,1646112.0
2015-03-31,34.64,34.03,34.02,34.34,10272.0,1956933.0
2015-04-01,34.14,33.73,33.52,34.03,11333.0,1449221.0
2015-04-02,34.165,33.98,33.61,33.71,9302.0,1313483.0
2015-04-06,34.36,34.17,34.04,34.1,12663.0,1874549.0
2015-04-07,34.18,33.64,33.62,34.13,8786.0,1205126.0
2015-04-08,33.95,33.88,33.6,33.66,9269.0,1159012.0
2015-04-09,33.89,32.91,32.76,33.75,9234.0,1161736.0
2015-04-10,33.37,32.99,32.92,33.1,8970.0,1178121.0
2015-04-13,33.11,32.75,32.75,32.94,6595.0,1409763.0
2015-04-14,33.07,32.72,32.58,32.62,8541.0,1285172.0
2015-04-15,32.97,32.36,32.35,32.77,9134.0,1151085.0
2015-04-16,32.7399,32.59,32.18,32.3,9054.0,861764.0
2015-04-17,32.68,32.58,32.26,32.45,9045.0,1089371.0
2015-04-20,32.74,32.56,32.41,32.65,7515.0,969937.0
2015-04-21,32.99,32.73,32.655,32.71,6676.0,796573.0
2015-04-22,33.4,33.19,32.73,32.76,9596.0,1251414.0
2015-04-23,33.41,33.34,33.06,33.16,6602.0,1064293.0
2015-04-24,33.71,33.51,33.21,33.31,11376.0,1580861.0
2015-04-27,33.8,33.65,33.455,33.63,14481.0,2112002.0
2015-04-28,34.01,33.85,33.55,33.81,14624.0,2073358.0
2015-04-29,33.8,33.43,33.03,33.47,13791.0,2494875.0
2015-04-30,33.47,32.77,32.495,33.35,17679.0,3450859.0
2015-05-01,33.42,32.95,32.752,32.82,11600.0,1777135.0
2015-05-04,33.68,33.2,33.12,33.28,11103.0,1494066.0
2015-05-05,33.19,32.28,32.125,33.13,12166.0,1658468.0
2015-05-06,32.55,32.27,32.12,32.32,11215.0,1834582.0
