,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,UDR,219753000,136669000,0.28633000000000003,6858511000,3516669000,3.174128683,73822000,
1,UDR,215862000,132189000,0.02882,6939730000,3564403000,2.951912828,86855000,
2,UDR,221418000,132767000,0.04906,6922730000,3513234000,3.126167184,13291000,15.5
3,UDR,237605000,141578000,-0.02752,7663844000,3570795000,3.424733155,166415000,9.185
4,UDR,234815000,145017000,0.02436,7601568000,3411825000,3.479214401,10393000,
5,UDR,238786000,150712000,0.04041,7610082000,3465177000,3.317574835,17946000,
6,UDR,243252000,153284000,0.0985,7651169000,3544390000,3.261789995,26956000,
7,UDR,243008000,151979000,0.1325,7679584000,3401478000,3.3351279480000002,237423000,
8,UDR,243841000,152652000,0.08772,7735911000,3537292000,3.1330370989999996,25967000,2.76
9,UDR,247979000,157413000,0.03888,7767934000,3634648000,3.432136269,10157000,3.56
10,UDR,251091000,156304000,0.0648,7760705000,3679011000,3.517656707,16190000,3.55
11,UDR,252880000,158922000,0.09916,7733273000,3671663000,3.623144172,69244000,3.99
12,UDR,253305000,158780000,0.04342,7709048000,3680673000,3.3759721610000004,81756000,2.58
13,UDR,259743000,164129000,0.0762,7707358000,3752112000,3.4909605110000004,20601000,
14,UDR,266144000,165252000,0.0684,7678784000,3811180000,3.924503408,18610000,
15,UDR,267667000,168160000,0.05585,7711728000,3547787000,4.100496861,82139000,
16,UDR,270673000,166618000,0.08481,7955725000,3589829000,4.311057557,24503000,
17,UDR,281308000,179501000,0.10487,8197266000,3870589000,4.289493708999999,35619000,
18,UDR,295394000,186778000,0.08707000000000001,8697597000,3935897000,4.65345301872744,27204000,
19,UDR,304818000,191275000,0.41471,9636472000,4707524000,4.21390110953858,97959000,
