Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,9.56,9.54,9.42,9.49,308.0,59274.0
2015-02-17,9.59,9.47,9.47,9.52,387.0,61521.0
2015-02-18,9.55,9.51,9.44,9.5,420.0,95779.0
2015-02-19,9.54,9.5,9.48,9.51,294.0,66366.0
2015-02-20,9.55,9.52,9.48,9.51,237.0,41897.0
2015-02-23,9.58,9.55,9.48,9.5,223.0,44678.0
2015-02-24,9.52,9.51,9.48,9.51,200.0,42639.0
2015-02-25,9.57,9.53,9.48,9.5,264.0,60226.0
2015-02-26,9.56,9.44,9.4,9.51,739.0,112558.0
2015-02-27,9.54,9.46,9.44,9.49,431.0,120780.0
2015-03-02,9.6,9.58,9.43,9.43,536.0,69993.0
2015-03-03,9.59,9.52,9.41,9.59,766.0,119081.0
2015-03-04,9.55,9.44,9.43,9.47,234.0,62734.0
2015-03-05,9.5,9.44,9.42,9.43,247.0,47370.0
2015-03-06,9.44,9.33,9.3,9.44,520.0,110507.0
2015-03-09,9.36,9.34,9.27,9.28,496.0,84309.0
2015-03-10,9.44,9.42,9.27,9.32,352.0,84272.0
2015-03-11,9.44,9.4,9.36,9.44,600.0,105396.0
2015-03-12,9.6,9.54,9.397,9.44,543.0,121337.0
2015-03-13,9.52,9.52,9.43,9.5,540.0,97585.0
2015-03-16,9.6,9.6,9.402,9.54,462.0,127880.0
2015-03-17,9.69,9.67,9.57,9.59,326.0,69664.0
2015-03-18,9.98,9.92,9.62,9.67,495.0,115207.0
2015-03-19,10.0,9.99,9.86,9.86,563.0,213835.0
2015-03-20,10.28,10.24,9.98,10.01,698.0,171067.0
2015-03-23,10.4,10.38,10.22,10.27,905.0,151604.0
2015-03-24,10.4,10.37,10.34,10.37,513.0,73191.0
2015-03-25,10.38,10.04,10.03,10.37,786.0,111278.0
2015-03-26,10.14,10.08,9.97,9.98,750.0,104931.0
2015-03-27,10.08,10.0,10.0,10.08,536.0,80736.0
2015-03-30,10.28,10.26,9.98,10.0,484.0,68151.0
2015-03-31,10.26,10.07,10.0,10.22,504.0,132897.0
2015-04-01,10.37,10.35,10.004,10.07,712.0,88169.0
2015-04-02,10.35,10.24,10.21,10.33,758.0,73906.0
2015-04-06,10.4,10.39,10.21,10.23,310.0,45117.0
2015-04-07,10.5,10.44,10.35,10.4,858.0,93260.0
2015-04-08,10.63,10.62,10.45,10.48,528.0,111074.0
2015-04-09,10.64,10.47,10.31,10.64,590.0,82133.0
2015-04-10,10.54,10.44,10.356,10.49,555.0,78218.0
2015-04-13,10.45,10.42,10.35,10.38,306.0,38493.0
2015-04-14,10.41,10.33,10.31,10.38,381.0,53513.0
2015-04-15,10.33,10.23,10.15,10.31,430.0,94663.0
2015-04-16,10.27,10.27,10.182,10.25,266.0,41774.0
2015-04-17,10.25,10.17,10.14,10.2,345.0,55223.0
2015-04-20,10.3,10.26,10.17,10.2,338.0,42455.0
2015-04-21,10.3,10.22,10.17,10.26,277.0,40221.0
2015-04-22,10.28,10.24,10.172,10.2,313.0,56798.0
2015-04-23,10.29,10.24,10.2,10.2,271.0,50796.0
2015-04-24,10.33,10.33,10.22,10.24,289.0,44545.0
2015-04-27,10.47,10.39,10.24,10.33,581.0,99903.0
2015-04-28,10.42,10.42,10.28,10.4,518.0,115668.0
2015-04-29,10.38,10.32,10.26,10.38,305.0,47658.0
2015-04-30,10.313,10.07,10.03,10.27,523.0,91484.0
2015-05-01,10.25,10.14,10.07,10.07,439.0,57095.0
2015-05-04,10.18,10.13,10.12,10.18,323.0,47066.0
2015-05-05,10.1105,9.97,9.95,10.1,486.0,80828.0
2015-05-06,10.06,10.0,9.9161,10.03,270.0,61842.0
2015-05-07,10.12,10.07,10.01,10.1,323.0,46101.0
2015-05-08,10.27,10.24,10.09,10.21,318.0,47617.0
2015-05-11,10.29,10.22,10.2,10.26,558.0,71765.0
2015-05-12,10.18,10.16,9.98,10.12,440.0,61191.0
2015-05-13,10.06,9.96,9.91,9.98,544.0,93168.0
2015-05-14,10.01,10.0,9.95,9.98,368.0,46226.0
2015-05-15,10.0,9.96,9.9,9.95,394.0,91303.0
2015-05-18,10.0,9.92,9.91,10.0,257.0,51611.0
2015-05-19,9.92,9.87,9.82,9.92,167.0,35637.0
2015-05-20,9.89,9.87,9.8,9.87,267.0,42509.0
2015-05-21,9.88,9.85,9.8,9.88,342.0,38288.0
2015-05-22,9.93,9.89,9.78,9.85,527.0,68837.0
2015-05-26,9.89,9.84,9.79,9.87,370.0,54846.0
2015-05-27,9.9,9.85,9.81,9.81,347.0,59590.0
2015-05-28,9.91,9.9,9.85,9.85,299.0,46827.0
2015-05-29,9.91,9.87,9.85,9.88,268.0,62322.0
2015-06-01,9.9,9.76,9.73,9.89,729.0,97448.0
2015-06-02,9.75,9.72,9.68,9.71,332.0,45798.0
2015-06-03,9.71,9.64,9.61,9.71,510.0,81941.0
2015-06-04,9.69,9.67,9.62,9.62,335.0,40134.0
2015-06-05,9.65,9.63,9.57,9.62,313.0,49451.0
2015-06-08,9.67,9.64,9.57,9.6,337.0,48579.0
2015-06-09,9.68,9.59,9.56,9.66,479.0,56137.0
2015-06-10,9.65,9.55,9.5,9.58,808.0,109135.0
2015-06-11,9.59,9.51,9.47,9.55,658.0,122829.0
2015-06-12,9.53,9.47,9.42,9.46,628.0,116055.0
2015-06-15,9.537,9.4,9.39,9.53,861.0,171082.0
