,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,UMH,18344090.0,6308690.0,-0.04312,491321320.0,269593930.0,1.175263334,718520.0,
1,UMH,19553440.0,6708070.0,-0.05549,506012160.0,289247950.0,1.169826998,203980.0,
2,UMH,21695000.0,7670350.0,-0.026139999999999997,551135270.0,335123640.0,1.177593213,1047250.0,
3,UMH,21924140.0,8587750.0,-0.07069,600317390.0,340912010.0,1.325093976,174460.0,
4,UMH,23504370.0,9153830.0,-0.033389999999999996,624039950.0,360595790.0,1.0912246829999999,1906470.0,
5,UMH,25210710.0,9712900.0,-0.02335,652048060.0,331907200.0,1.225106681,3051460.0,
6,UMH,25355050.0,9726690.0,-0.019280000000000002,669036290.0,341599900.0,1.070975609,3200010.0,
7,UMH,25143700.0,10658220.0,-0.01408,680444820.0,351310980.0,1.357332665,3376620.0,
8,UMH,26448550.0,10503300.0,-0.0494,725782360.0,387375360.0,1.409964428,2285550.0,
9,UMH,28817850.0,10699820.0,-0.00672,746221440.0,375481650.0,1.6098092069999999,3589870.0,
10,UMH,28684940.0,10960320.0,-0.15133,785795150.0,354297320.0,1.456783418,3262000.0,
11,UMH,28696590.0,11425900.0,-0.0213,823881330.0,389599600.0,1.2372017240000002,3530620.0,
12,UMH,29795960.0,11898340.0,-0.75581,813387120.0,353699720.0,1.129813751,-22208340.0,
13,UMH,32098550.0,12101620.0,0.4102,862752680.0,386420370.0,1.2481867290000002,20071980.0,
14,UMH,33447110.0,13062480.0,-0.30806999999999995,868504950.0,400450560.0,1.24764629,-6349340.0,
15,UMH,34245070.0,13205910.0,-0.8672200000000001,880902120.0,439078420.0,0.9789994009999999,-27729880.0,
16,UMH,34287430.0,13288350.0,0.15358,899708500.0,444378140.0,1.270435279,11037390.0,
17,UMH,37230040.0,13510490.0,-0.13996,915286840.0,366331900.0,1.1179207359999999,748700.0,
18,UMH,37328890.0,14331750.0,0.13945,1010152230.0,451965480.0,1.06676052342547,12432810.0,
19,UMH,,,,,,1.1962614712621298,,
