Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2017-10-17,18.55,18.55,18.55,18.55,,100000.0
2017-10-18,18.52,18.5,18.5,18.5,,8227502.0
2017-10-19,18.57,18.5,18.5,18.5,,550484.0
2017-10-20,19.0,18.0,18.0,18.25,,155577.0
2017-10-23,18.0,18.0,18.0,18.0,,349.0
2017-10-24,18.7,18.65,18.65,18.7,,287571.0
2017-10-25,18.65,18.65,18.6,18.6,,100127.0
2017-10-26,18.65,18.5,18.5,18.6,,160091.0
2017-10-27,18.585,18.54,18.0,18.0,,2133104.0
2017-10-31,18.5,18.5,18.4,18.5,,43330.0
2017-11-01,18.5,18.5,18.25,18.25,,57558.0
2017-11-02,18.5,18.5,18.25,18.5,,14760.0
2017-11-03,18.54,18.54,18.52,18.52,,370000.0
2017-11-06,18.55,18.55,18.52,18.55,,2745114.0
2017-11-07,18.61,18.58,18.5,18.5,,410946.0
2017-11-08,18.6,18.55,18.5,18.55,,24316.0
2017-11-09,18.55,18.55,18.55,18.55,,679.0
2017-11-10,18.75,18.5,18.45,18.5,,3621672.0
2017-11-13,18.75,18.5,18.45,18.45,,76362.0
2017-11-14,18.5,18.35,18.35,18.5,,218457.0
2017-11-15,18.5,18.5,18.25,18.25,,677508.0
2017-11-16,18.6,18.5,18.5,18.5,,152501.0
2017-11-17,18.7,18.55,18.5,18.65,,373494.0
2017-11-20,18.65,18.6,18.55,18.65,,312873.0
2017-11-21,18.75,18.75,18.65,18.75,,872552.0
2017-11-22,18.75,18.75,18.65,18.65,,1140544.0
2017-11-27,18.8,18.8,18.75,18.75,,6972.0
2017-11-28,19.0,19.0,18.8,18.8,,874646.0
2017-11-29,19.05,19.05,19.05,19.05,,230115.0
2017-11-30,19.75,19.75,19.0,19.0,,317469.0
2017-12-01,20.5,19.78,19.75,19.75,,600841.0
2017-12-04,20.75,20.0,19.5,20.0,,633824.0
2017-12-05,21.0,21.0,19.85,20.05,,301513.0
2017-12-06,19.92,19.85,19.85,19.85,,1035005.0
2017-12-07,20.0,19.8,19.65,20.0,,591002.0
2017-12-08,19.88,19.8,19.8,19.8,,385096.0
2017-12-11,19.81,19.81,19.75,19.8,,347860.0
2017-12-12,19.81,19.81,19.75,19.75,,144448.0
2017-12-13,19.85,19.85,19.7,19.82,,29863.0
2017-12-14,20.0,20.0,19.85,19.9,,343450.0
2017-12-15,20.0,20.0,19.95,19.95,,18468.0
2017-12-18,20.1,20.0,19.95,20.0,,15757.0
2017-12-19,20.0,19.975,19.95,19.95,,15001.0
2017-12-20,20.4,20.0,20.0,20.0,,29359.0
2017-12-21,20.5,20.5,20.0,20.0,,5647.0
2017-12-22,20.75,20.2,20.0,20.5,,26936.0
2017-12-26,20.0,20.0,20.0,20.0,,1096.0
2017-12-27,20.5,20.5,20.5,20.5,,120.0
2017-12-29,21.0,20.5,19.95,20.5,,48885.0
2018-01-02,20.6,20.1,19.95,20.0,,427922.0
2018-01-03,20.6,20.16,20.0,20.5,,231268.0
2018-01-04,20.5,20.2,20.1,20.5,,447786.0
2018-01-05,20.2,20.2,20.15,20.2,,78258.0
2018-01-08,20.2,20.2,20.05,20.2,,59242.0
2018-01-09,20.21,20.21,20.0,20.2,,224708.0
2018-01-10,20.2,20.0,19.9,19.9,,367502.0
2018-01-11,20.0,20.0,19.85,20.0,,37766.0
2018-01-12,20.0,19.99,19.5,20.0,,1109293.0
2018-01-16,22.99,21.5,20.5,20.5,,2005023.0
2018-01-17,21.3,21.28,21.25,21.25,,233033.0
2018-01-18,21.35,21.0,20.984,21.25,,634443.0
2018-01-19,21.0,20.75,20.75,20.85,,955651.0
2018-01-22,22.99,22.99,20.3,20.75,,3641.0
2018-01-23,21.5,21.0,21.0,21.0,,127347.0
2018-01-24,21.1,21.0,19.5,20.75,,19989.0
2018-01-25,21.15,20.93,20.93,21.15,,73454.0
2018-01-26,21.1,21.1,21.0,21.0,,5008.0
2018-01-29,21.1,21.1,20.6,20.6,,24891.0
2018-01-30,21.1,21.05,21.0,21.05,,40088.0
2018-01-31,22.97,22.0,20.9,21.05,,643180.0
2018-02-01,21.33,20.89,20.67,21.08,49570.0,24638298.0
2018-02-02,21.1,21.01,20.4,20.75,13309.0,4923075.0
2018-02-05,21.1,20.61,18.49,20.78,13648.0,4454079.0
2018-02-06,20.91,20.5,19.5,20.24,20886.0,9323010.0
2018-02-07,20.93,20.76,20.31,20.31,23733.0,15743168.0
2018-02-08,20.7,20.0,19.9,20.55,16956.0,7726191.0
2018-02-09,20.3,19.91,19.01,20.0,18135.0,5664444.0
2018-02-12,20.0,19.58,19.35,19.96,7882.0,2149115.0
2018-02-13,19.75,19.7,19.4,19.7,4496.0,1396357.0
2018-02-14,19.78,19.65,19.32,19.67,7123.0,2311469.0
2018-02-15,19.95,19.85,19.46,19.81,6558.0,2318701.0
2018-02-16,20.01,19.99,19.65,19.9,4903.0,1168647.0
2018-02-20,20.08,20.0,19.85,19.85,7312.0,2273521.0
2018-02-21,20.0,19.67,19.6,19.99,8707.0,2484507.0
2018-02-22,20.0,19.84,19.68,19.72,10806.0,2713626.0
2018-02-23,19.95,19.82,19.65,19.85,10466.0,2631499.0
2018-02-26,19.79,19.7,19.53,19.79,7376.0,2092404.0
2018-02-27,19.83,19.46,19.39,19.76,5913.0,1664958.0
2018-02-28,19.715,19.55,19.31,19.43,11301.0,2408582.0
2018-03-01,19.71,19.49,19.34,19.55,11821.0,2674790.0
2018-03-02,19.52,19.4,19.159,19.49,9966.0,1471400.0
2018-03-05,19.515,19.47,19.2885,19.36,9111.0,1797056.0
2018-03-06,19.71,19.61,19.5,19.6,7371.0,2350554.0
2018-03-07,19.7,19.61,19.39,19.54,7099.0,1433542.0
2018-03-08,19.6499,19.29,19.2,19.59,13097.0,2447873.0
2018-03-09,19.65,19.6,19.08,19.16,14745.0,2827684.0
2018-03-12,19.66,19.39,19.2,19.6,14603.0,3098774.0
2018-03-13,19.68,19.6,19.4,19.4,11186.0,2115814.0
2018-03-14,19.75,19.63,19.59,19.63,8203.0,2741473.0
2018-03-15,19.75,19.42,19.2,19.65,12561.0,3091238.0
2018-03-16,19.53,19.42,19.22,19.25,11822.0,19539243.0
2018-03-19,19.435,19.23,19.1503,19.43,8247.0,2323985.0
2018-03-20,19.34,19.03,18.84,19.34,11509.0,4471120.0
2018-03-21,19.06,18.97,18.77,18.99,8048.0,1937353.0
2018-03-22,19.0,18.8,18.76,18.85,8052.0,1527225.0
2018-03-23,18.93,18.47,18.27,18.85,7225.0,2140385.0
2018-03-26,18.93,18.66,18.51,18.67,6089.0,2107014.0
2018-03-27,18.75,18.48,18.33,18.75,8068.0,1420014.0
2018-03-28,18.44,18.27,18.16,18.37,14327.0,4879867.0
2018-03-29,18.41,18.32,17.855,18.11,16494.0,6687643.0
2018-04-02,18.39,18.29,18.14,18.35,13217.0,5131146.0
2018-04-03,18.35,18.27,18.14,18.33,7904.0,1757617.0
2018-04-04,18.34,18.13,18.0,18.16,10420.0,3282352.0
2018-04-05,18.29,18.18,18.05,18.17,8019.0,3853825.0
2018-04-06,18.34,18.28,18.08,18.17,8961.0,2187140.0
2018-04-09,18.345,18.14,18.1,18.29,8981.0,2919485.0
2018-04-10,18.33,18.16,18.01,18.29,7372.0,1525040.0
2018-04-11,18.215,18.17,17.98,18.05,7311.0,1926708.0
2018-04-12,18.32,18.17,17.91,18.17,4557.0,896800.0
2018-04-13,18.245,18.2,18.03,18.2,4728.0,1426573.0
2018-04-16,18.37,18.23,18.14,18.2,7010.0,2935705.0
2018-04-17,18.42,18.27,18.24,18.27,5617.0,1570044.0
2018-04-18,18.41,18.38,18.24,18.29,5131.0,1460414.0
2018-04-19,18.39,18.23,18.2,18.38,5528.0,1343585.0
2018-04-20,18.34,18.18,18.065,18.25,4173.0,1074831.0
2018-04-23,18.24,18.09,17.58,18.24,4157.0,931139.0
2018-04-24,18.23,18.04,17.95,18.08,4871.0,1068522.0
2018-04-25,18.15,18.04,17.95,17.95,4349.0,1006702.0
2018-04-26,18.11,18.01,17.98,18.03,4732.0,1440281.0
2018-04-27,18.09,18.05,17.82,17.98,5406.0,1188901.0
2018-04-30,18.2,18.18,17.99,18.06,6847.0,1640820.0
2018-05-01,18.24,18.21,17.9,18.1,6879.0,3782098.0
2018-05-02,18.16,17.87,17.83,18.12,8323.0,3561033.0
2018-05-03,18.05,17.85,17.82,17.83,8877.0,2176822.0
2018-05-04,18.3,18.02,17.79,17.85,12466.0,2616373.0
2018-05-07,18.27,18.16,17.98,18.0,13679.0,3572203.0
2018-05-08,18.6,18.41,18.13,18.14,11383.0,3328105.0
2018-05-09,19.44,18.89,18.75,18.75,18760.0,4145530.0
2018-05-10,19.18,19.12,18.98,19.0,9706.0,2574243.0
2018-05-11,19.1,19.0,18.855,19.08,7224.0,1535351.0
2018-05-14,19.315,19.3,19.08,19.1,11240.0,3418735.0
2018-05-15,19.52,19.35,19.25,19.28,18141.0,5147511.0
2018-05-16,19.78,19.65,19.31,19.31,16488.0,3603918.0
2018-05-17,20.05,19.7,19.695,19.79,15307.0,3875424.0
2018-05-18,19.79,19.56,19.45,19.76,11196.0,2095363.0
2018-05-21,19.95,19.76,19.6,19.64,15078.0,3213057.0
2018-05-22,19.88,19.75,19.66,19.82,10127.0,3009900.0
2018-05-23,19.92,19.9,19.71,19.73,8634.0,1862484.0
2018-05-24,19.9425,19.85,19.76,19.92,7524.0,1574463.0
2018-05-25,19.98,19.86,19.76,19.85,9891.0,1921599.0
2018-05-29,20.01,19.94,19.8,19.88,11040.0,2400261.0
2018-05-30,20.05,19.95,19.86,20.03,18983.0,5212440.0
2018-05-31,20.02,19.37,19.32,19.88,23433.0,12951502.0
2018-06-01,19.94,19.88,19.475,19.66,15462.0,3060898.0
2018-06-04,20.48,20.37,20.0,20.17,32695.0,7235840.0
2018-06-05,20.49,20.11,19.965,20.38,21109.0,4659469.0
2018-06-06,20.24,19.98,19.93,20.07,12755.0,2291770.0
2018-06-07,20.17,20.01,19.91,20.07,18724.0,4128336.0
2018-06-08,20.88,20.44,19.98,20.05,23008.0,6319607.0
2018-06-11,20.65,20.53,20.41,20.5,17419.0,3007754.0
2018-06-12,20.665,20.6,20.4,20.49,14720.0,3311771.0
2018-06-13,20.72,20.6,20.52,20.61,15931.0,5153354.0
2018-06-14,20.745,20.53,20.47,20.65,14479.0,5073132.0
2018-06-15,20.76,20.52,20.46,20.5,17098.0,8947165.0
2018-06-18,20.75,20.6,20.43,20.43,14700.0,5840245.0
2018-06-19,20.85,20.65,20.5,20.5,16587.0,5068131.0
2018-06-20,21.02,20.94,20.6,20.67,17302.0,5324696.0
2018-06-21,21.0,20.97,20.85,20.98,11405.0,2542661.0
2018-06-22,21.09,20.98,20.84,21.09,9002.0,2637596.0
2018-06-25,20.95,20.84,20.69,20.95,15203.0,2902937.0
2018-06-26,20.89,20.79,20.69,20.77,12187.0,4620791.0
2018-06-27,20.64,20.48,20.38,20.5,16189.0,4161092.0
2018-06-28,20.58,20.47,20.2801,20.53,10729.0,2349960.0
2018-06-29,20.77,20.64,20.19,20.51,8364.0,1726991.0
2018-07-02,20.75,20.7,20.47,20.57,8490.0,1466923.0
2018-07-03,20.95,20.86,20.68,20.89,6314.0,1087860.0
2018-07-05,21.0,20.99,20.81,20.97,9116.0,1705708.0
2018-07-06,21.12,21.1,20.895,21.02,13414.0,3062493.0
2018-07-09,21.22,21.11,21.07,21.13,10029.0,1757843.0
2018-07-10,21.22,21.14,21.03,21.18,9805.0,1695872.0
2018-07-11,21.15,20.96,20.81,21.04,9581.0,1349251.0
2018-07-12,21.09,20.94,20.86,20.92,7502.0,912700.0
2018-07-13,21.185,21.17,20.99,20.99,8149.0,1259658.0
2018-07-16,21.21,21.17,21.03,21.18,6508.0,896103.0
2018-07-17,21.25,20.95,20.95,21.17,8100.0,1459984.0
2018-07-18,21.03,20.74,20.66,20.93,9031.0,2624820.0
2018-07-19,20.89,20.77,20.56,20.75,15611.0,3539793.0
2018-07-20,20.9,20.73,20.6,20.87,5522.0,1078397.0
2018-07-23,20.8098,20.6,20.51,20.78,9422.0,1303098.0
2018-07-24,20.7,20.48,20.48,20.66,7244.0,1147183.0
2018-07-25,20.65,20.56,20.41,20.5,7056.0,1301561.0
2018-07-26,20.75,20.5,20.47,20.51,4294.0,805254.0
2018-07-27,20.585,20.32,20.24,20.47,5099.0,746885.0
2018-07-30,20.545,20.41,20.25,20.34,5608.0,706376.0
2018-07-31,20.93,20.35,20.305,20.93,8637.0,2481153.0
2018-08-01,20.44,20.0,19.95,20.29,11809.0,2346478.0
2018-08-02,20.03,19.65,19.58,19.96,16722.0,4717177.0
2018-08-03,20.0,19.54,19.3,19.75,10377.0,2626777.0
2018-08-06,19.82,19.75,19.525,19.55,9975.0,2844763.0
2018-08-07,19.93,19.86,19.64,19.74,10490.0,2521798.0
2018-08-08,20.33,20.27,19.8,19.93,8137.0,2220574.0
2018-08-09,20.34,20.12,19.99,20.22,6018.0,767792.0
2018-08-10,20.18,20.15,19.92,19.93,6222.0,913477.0
2018-08-13,20.26,20.08,19.98,20.19,6141.0,1302281.0
2018-08-14,20.52,20.1,20.06,20.28,8260.0,1852989.0
2018-08-15,20.41,20.41,20.07,20.08,6846.0,1237117.0
2018-08-16,20.72,20.67,20.32,20.49,9404.0,2098503.0
2018-08-17,20.89,20.67,20.63,20.67,6994.0,1596852.0
2018-08-20,20.815,20.46,20.3,20.61,7273.0,1299574.0
2018-08-21,20.8,20.67,20.37,20.41,7559.0,1275845.0
2018-08-22,20.71,20.53,20.51,20.66,7260.0,1291207.0
2018-08-23,20.75,20.69,20.5,20.51,5513.0,1076349.0
2018-08-24,20.82,20.7,20.63,20.71,5887.0,956445.0
2018-08-27,20.82,20.81,20.7,20.74,10614.0,2284719.0
2018-08-28,20.99,20.93,20.765,20.86,16106.0,2949682.0
2018-08-29,21.01,20.9,20.85,21.0,7858.0,1395080.0
2018-08-30,20.89,20.64,20.63,20.85,5641.0,1074730.0
2018-08-31,20.93,20.91,20.64,20.64,6088.0,1248162.0
2018-09-04,21.005,20.93,20.75,20.85,9291.0,1364292.0
