,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,VICI.K,218276000.0,189630000.0,0.39395,10486239000.0,4119263000.0,,112122000.0,
1,VICI.K,220975000.0,190370000.0,0.37585999999999997,10564703000.0,4120141000.0,,139044000.0,
2,VICI.K,232687000.0,197363000.0,0.3845,10568501000.0,4121153000.0,,129912000.0,
3,VICI.K,226039000.0,197004000.0,0.37038000000000004,11333368000.0,4122264000.0,,142541000.0,
4,VICI.K,214002000.0,203685000.0,0.37398000000000003,11448671000.0,4123350000.0,,150849000.0,
5,VICI.K,220746000.0,209380000.0,0.3757,12522046000.0,4124448000.0,,152049000.0,
6,VICI.K,222513000.0,210373000.0,0.31569,12581466000.0,4125473000.0,,144435000.0,
7,VICI.K,,,,,,,,
8,VICI.K,,,,,,,,
9,VICI.K,,,,,,,,
10,VICI.K,,,,,,,,
11,VICI.K,,,,,,,,
12,VICI.K,,,,,,1.172572328,,
13,VICI.K,,,,,,1.262324072,,
14,VICI.K,,,,,,1.314146979,,
15,VICI.K,,,,,,1.135386783,,
16,VICI.K,,,,,,1.298943943,,
17,VICI.K,,,,,,1.300982614,,
18,VICI.K,,,,,,1.30705930830791,,
19,VICI.K,,,,,,1.4741219071601,,
