,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,VNO,597010000.0,347500000.0,0.21264,21157980000.0,9530337000.0,2.44876274392511,533603000.0,7.15
1,VNO,606802000.0,300807000.0,0.23744,19261051000.0,9564125000.0,2.2318432180658903,104077000.0,5.25
2,VNO,616288000.0,339282000.0,0.80428,19585907000.0,9809777000.0,2.0463510215407,186016000.0,6.89
3,VNO,627596000.0,340510000.0,0.33237,19971926000.0,10007007000.0,2.21388946064778,219234000.0,6.53
4,VNO,134809000.0,217533000.0,0.08886000000000001,21143293000.0,11091010000.0,2.08698662213523,251107000.0,5.49
5,VNO,613037000.0,315675000.0,-0.08071,20873374000.0,11059832000.0,2.27363549598498,-93799000.0,5.18
6,VNO,621708000.0,268582000.0,0.24529,21073730000.0,11078771000.0,2.27493140023457,240826000.0,6.25
7,VNO,502753000.0,296029000.0,0.21716999999999997,20859369000.0,11200238000.0,2.4515113552478303,92580000.0,5.38
8,VNO,513974000.0,304281000.0,0.9401200000000001,20814847000.0,9446670000.0,2.15835111741949,667310000.0,6.79
9,VNO,508058000.0,278451000.0,0.17125,20731448000.0,10615437000.0,2.03981911295367,63881000.0,6.89
10,VNO,511087000.0,298082000.0,0.50246,20889290000.0,10837585000.0,2.04553684491977,132101000.0,6.79
11,VNO,528755000.0,279937000.0,0.13221,16842120000.0,9351601000.0,3.15426659291235,-12898000.0,4.28
12,VNO,536226000.0,283783000.0,0.29955,17397934000.0,10185001000.0,2.8630187598724706,44332000.0,5.92
13,VNO,536437000.0,262257000.0,-0.0169,16864483000.0,9774477000.0,3.1315081400379103,9680000.0,4.28
14,VNO,541818000.0,276998000.0,0.61643,16866083000.0,9781529000.0,3.15016414696779,124068000.0,6.03
15,VNO,542048000.0,279479000.0,0.27971999999999997,16678020000.0,9792659000.0,2.61871217234177,203179000.0,8.26
16,VNO,543417000.0,268332000.0,0.46629,17180794000.0,9836621000.0,2.79509557932392,113027000.0,6.64
17,VNO,534668000.0,230746000.0,-0.05998,17637955000.0,8639526000.0,2.6725301827581402,194022000.0,
18,VNO,463103000.0,206860000.0,-0.7296600000000001,17913857000.0,7527604000.0,1.7200133633911001,2412727000.0,
19,VNO,465961000.0,210039000.0,0.16625,18216099000.0,7487148000.0,1.7938398761174301,335438000.0,
20,VNO,,,,,,,,
