,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,VTR,732090000.0,407325000.0,0.30571,21165913000.0,10844351000.0,2.155890881,107190000.0,13.42
1,VTR,805598000.0,454789000.0,0.35670999999999997,24439871000.0,11603925000.0,1.59242562,120442000.0,11.99
2,VTR,811920000.0,464031000.0,0.39849,24275162000.0,11507861000.0,1.657484236,149821000.0,12.33
3,VTR,827606000.0,455109000.0,0.28670999999999996,22413977000.0,11268560000.0,1.915656597,22852000.0,10.95
4,VTR,841274000.0,453837000.0,0.36414,22261918000.0,11206996000.0,2.1565908069999997,124728000.0,12.01
5,VTR,852289000.0,460890000.0,0.37117,22261292000.0,11247730000.0,2.506202642,148980000.0,10.48
6,VTR,848404000.0,462503000.0,0.42452,22093472000.0,10901131000.0,2.431385855,143162000.0,11.05
7,VTR,867116000.0,473458000.0,0.45821999999999996,23426264000.0,11252327000.0,2.067625184,149452000.0,11.87
8,VTR,875713000.0,477723000.0,0.39789,23166600000.0,11127326000.0,2.1604252969999997,207637000.0,12.25
9,VTR,883443000.0,484957000.0,0.45091000000000003,23919331000.0,11943733000.0,2.329104906,198127000.0,10.28
10,VTR,895490000.0,506226000.0,0.45587,23855758000.0,11907997000.0,2.197285108,151831000.0,11.45
11,VTR,899928000.0,494586000.0,0.44823999999999997,23739795000.0,11424145000.0,1.960289985,613958000.0,10.99
12,VTR,895288000.0,503927000.0,0.41748,23954541000.0,11276062000.0,1.6002128830000002,392554000.0,10.55
13,VTR,943705000.0,500503000.0,0.28536,23493510000.0,11039812000.0,1.86617642,78703000.0,9.26
14,VTR,942304000.0,487401000.0,0.38166,22699134000.0,10402897000.0,1.8000844619999998,166519000.0,
15,VTR,936538000.0,468041000.0,0.36637,22597953000.0,10478455000.0,1.9710219830000002,101972000.0,
16,VTR,923263000.0,528585000.0,0.23281,22584555000.0,10733699000.0,2.186934227,62273000.0,
17,VTR,942874000.0,481177000.0,0.36051,22668097000.0,10690176000.0,2.365356851,125785000.0,
18,VTR,950717000.0,474522000.0,0.5505,22988911000.0,10256092000.0,2.45674560316733,210529000.0,
19,VTR,983155000.0,489605000.0,0.36225999999999997,24803553000.0,12053184000.0,1.97395367740455,85259000.0,
20,VTR,,,,,,,,
