Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,77.5263,77.12,76.52,77.26,11894.0,1267385.0
2015-02-17,77.95,76.97,76.63,76.78,13469.0,1711405.0
2015-02-18,78.17,78.11,76.24,77.17,18227.0,2259648.0
2015-02-19,77.79,76.22,76.06,77.79,18425.0,2005695.0
2015-02-20,78.45,78.05,76.35,76.66,25305.0,4007942.0
2015-02-23,78.73,78.69,77.57,78.04,22861.0,2953579.0
2015-02-24,77.53,76.5,76.05,76.3,84507.0,16363897.0
2015-02-25,78.3355,77.63,76.83,76.9,33392.0,4391200.0
2015-02-26,77.87,76.07,75.96,77.75,23861.0,2865001.0
2015-02-27,77.12,77.11,75.65,76.34,19232.0,2660056.0
2015-03-02,78.43,77.38,77.23,77.44,24157.0,2900152.0
2015-03-03,77.81,77.57,76.8,77.69,17484.0,1964611.0
2015-03-04,78.19,76.72,76.53,77.51,17447.0,2064227.0
2015-03-05,77.75,76.68,76.66,77.02,16567.0,2015054.0
2015-03-06,75.61,73.62,73.2,75.61,33765.0,4831263.0
2015-03-09,74.6,74.39,73.67,73.92,24445.0,2935329.0
2015-03-10,75.45,74.93,74.13,74.21,26024.0,3302852.0
2015-03-11,75.14,74.23,73.86,74.81,16287.0,1924436.0
2015-03-12,75.4,75.3,74.59,74.59,15011.0,2030424.0
2015-03-13,75.74,75.02,74.61,75.36,11702.0,1414972.0
2015-03-16,76.22,75.2,75.03,75.26,21429.0,2653155.0
2015-03-17,75.64,74.66,74.58,75.2,21239.0,2510184.0
2015-03-18,77.29,76.97,74.3,74.67,29243.0,3301702.0
2015-03-19,77.64,76.78,76.61,77.05,18104.0,2538149.0
2015-03-20,79.13,79.13,76.55,76.55,24954.0,6907595.0
2015-03-23,80.35,79.4,78.76,78.93,17478.0,2300204.0
2015-03-24,79.65,79.09,78.79,79.19,16872.0,2463456.0
2015-03-25,79.6,77.93,77.78,79.19,16304.0,1874552.0
2015-03-26,78.0,77.4,77.17,77.46,14692.0,1946138.0
2015-03-27,78.26,77.78,77.27,77.59,13124.0,1798554.0
2015-03-30,78.77,78.71,77.59,78.03,15435.0,1665376.0
2015-03-31,78.6485,77.36,77.3,78.43,17155.0,3228179.0
2015-04-01,77.46,77.2,76.78,77.46,19183.0,2044174.0
2015-04-02,78.09,77.83,76.96,77.15,13849.0,1804008.0
2015-04-06,79.6,79.44,78.11,78.12,17548.0,2558439.0
2015-04-07,79.2,78.12,78.04,79.2,19836.0,2749855.0
2015-04-08,78.631,78.24,77.97,78.35,13320.0,1630287.0
2015-04-09,78.34,76.69,76.525,78.19,14707.0,1697305.0
2015-04-10,77.35,76.19,75.86,76.9,12418.0,1454434.0
2015-04-13,76.32,75.49,75.49,76.06,13411.0,1816541.0
2015-04-14,76.64,76.18,75.84,75.84,10112.0,1191357.0
2015-04-15,76.58,75.43,75.38,76.13,12739.0,1633937.0
2015-04-16,76.04,75.63,74.92,75.2,10001.0,1213688.0
2015-04-17,76.07,75.26,75.02,75.56,12018.0,1413709.0
2015-04-20,75.68,75.25,75.0,75.34,9804.0,1105849.0
2015-04-21,76.04,75.23,75.19,75.63,9624.0,1226202.0
2015-04-22,75.79,75.44,75.07,75.11,11146.0,1245921.0
2015-04-23,76.01,75.82,75.24,75.39,9281.0,1289192.0
2015-04-24,76.34,75.86,75.56,75.79,8396.0,1055256.0
2015-04-27,76.58,75.72,75.45,76.02,11438.0,1514736.0
2015-04-28,75.97,75.62,75.01,75.46,10119.0,1182588.0
2015-04-29,75.61,73.96,73.63,74.89,15786.0,2017263.0
2015-04-30,73.936,72.02,71.5301,73.68,24176.0,3481371.0
2015-05-01,73.0,72.26,72.09,72.25,15786.0,1969421.0
