,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,WELL.K,867769000,477137000,0.39608000000000004,24962923000,10692591000,1.9305430319999999,204989000,4.01
1,WELL.K,894177000,482578000,0.52551,26629395000,10939167000,1.5802715680000001,207151000,5.42
2,WELL.K,957169000,509758000,0.43463999999999997,27407482000,11477126000,1.6210451780000001,328925000,5.74
3,WELL.K,978997000,533345000,0.5300199999999999,27456366000,11392396000,1.6397623630000002,198395000,5.69
4,WELL.K,1029484000,518244000,0.39873000000000003,29023845000,12892197000,1.6860410869999998,149282000,5.66
5,WELL.K,1047050000,551723000,0.46073000000000003,29088293000,12988106000,1.8716348459999999,165321000,5.3
6,WELL.K,1076657000,574750000,0.5532600000000001,28964501000,12898968000,1.858110531,211826000,5.26
7,WELL.K,1079133000,568625000,0.5342600000000001,29856339000,13356518000,1.640117923,351262000,5.34
8,WELL.K,1078322000,531628000,0.43861999999999995,28865184000,12284318000,1.7343512140000001,349395000,5.21
9,WELL.K,1062298000,509353000,0.30379,27767277000,11380715000,1.864389911,336787000,4.62
10,WELL.K,1058602000,517780000,0.43304,27975786000,11306854000,1.748266394,200109000,4.71
11,WELL.K,1091483000,437978000,0.19622,28180379000,11448908000,1.6033134169999999,85719000,4.71
12,WELL.K,1104258000,404855000,-0.27729000000000004,27944445000,11659698000,1.4028386640000001,-99847000,4.74
13,WELL.K,1096965000,503083000,0.37383,27746659000,11277992000,1.601740893,449347000,3.54
14,WELL.K,1125912000,514272000,0.39955,27618982000,11364257000,1.668461371,166108000,
15,WELL.K,1236379000,461850000,0.13439,30249119000,13432683000,1.822011766,76060000,4.9
16,WELL.K,1241243000,548996000,0.35569,30342072000,13226476000,2.034750503,113439000,7.2
17,WELL.K,1272245000,544588000,0.32831,30637336000,12791022000,2.183038385,280470000,
18,WELL.K,1320106000,563610000,0.36896,33148697000,15259532000,2.44999135157026,137762000,
19,WELL.K,1266133000,573340000,0.24516999999999997,31863955000,13798266000,2.17363661105678,589876000,
