Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,71.38,70.82,70.26,71.36,3969.0,475518.0
2015-02-17,71.46,70.36,70.27,70.78,3529.0,409712.0
2015-02-18,70.94,70.84,69.79,70.23,3336.0,368122.0
2015-02-19,70.82,69.86,69.715,70.6,2703.0,278319.0
2015-02-20,71.05,71.05,69.63,69.76,2867.0,308125.0
2015-02-23,71.905,71.73,70.84,71.14,3615.0,383766.0
2015-02-24,72.0,69.45,69.25,71.98,5671.0,672297.0
2015-02-25,69.8116,69.17,68.89,69.32,4435.0,465349.0
2015-02-26,69.64,68.08,67.82,68.71,4342.0,530471.0
2015-02-27,68.6,68.58,67.59,68.23,5143.0,930012.0
2015-03-02,69.72,69.61,68.6,68.6,5245.0,663505.0
2015-03-03,69.71,69.25,68.61,69.5,2866.0,323729.0
2015-03-04,69.27,68.74,68.53,69.0,2326.0,261019.0
2015-03-05,69.53,68.55,68.35,69.33,2213.0,263588.0
2015-03-06,67.97,65.92,65.46,67.85,6174.0,724186.0
2015-03-09,66.61,66.55,65.56,65.96,4428.0,529170.0
2015-03-10,66.8,66.39,66.1,66.53,3246.0,368784.0
2015-03-11,66.49,66.18,66.0,66.49,2327.0,273432.0
2015-03-12,67.6999,67.34,66.362,66.66,3761.0,351596.0
2015-03-13,67.84,67.76,67.01,67.32,2792.0,342885.0
2015-03-16,68.79,68.34,67.7,68.0,3709.0,392037.0
2015-03-17,68.83,68.8,67.91,68.1,3693.0,416602.0
2015-03-18,70.15,69.89,67.91,68.82,5859.0,551585.0
2015-03-19,70.06,69.34,69.28,69.59,2861.0,337813.0
2015-03-20,71.155,70.82,69.7,69.7,5205.0,952987.0
2015-03-23,71.45,70.82,70.67,70.81,2987.0,360283.0
2015-03-24,70.8,70.15,69.95,70.51,3406.0,347790.0
2015-03-25,70.76,69.19,68.94,70.36,3002.0,317946.0
2015-03-26,69.3565,68.49,68.33,69.05,3478.0,355680.0
2015-03-27,67.8799,67.48,66.95,67.83,2788.0,292851.0
2015-03-30,68.06,67.9,67.3684,67.41,4082.0,383798.0
2015-03-31,68.53,68.0,67.43,67.8,3637.0,508151.0
2015-04-01,68.38,68.03,67.47,68.04,4096.0,349624.0
2015-04-02,68.88,68.72,67.99,68.06,2899.0,300176.0
2015-04-06,69.47,69.33,68.6,68.72,3409.0,316322.0
2015-04-07,69.39,68.24,68.23,69.33,2539.0,206760.0
2015-04-08,68.93,68.67,68.13,68.29,2943.0,254156.0
