,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,WPC,248332000.0,155755000,0.47121,8648479000,4088546000,1.8861566419999998,28511000.0,
1,WPC,220388000.0,153668000,0.40710999999999997,8730530000,4336224000,1.719589974,36116000.0,
2,WPC,238079000.0,178913000,0.61611,8967604000,4544507000,1.6766153719999999,63332000.0,
3,WPC,214666000.0,157942000,0.40295,8888428000,4600108000,1.76716988,19966000.0,
4,WPC,265251000.0,177008000,0.38899,8742089000,4480209000,1.8968284619999998,47542000.0,
5,WPC,270240000.0,192235000,0.69797,8703251000,4563664000,2.142381827,56777000.0,
6,WPC,217266000.0,159423000,0.70243,8682571000,4641928000,2.036592357,33379000.0,
7,WPC,225247000.0,167082000,1.15939,8468285000,4391820000,1.8558057819999998,61817000.0,
8,WPC,228780000.0,157358000,0.51762,8453954000,4440814000,2.003116194,44456000.0,
9,WPC,219059000.0,148103000,0.53278,8197828000,4173352000,2.159326271,57474000.0,
10,WPC,221528000.0,167580000,0.67345,8317249000,4264664000,2.224388888,60853000.0,
11,WPC,210754000.0,163131000,0.7537699999999999,8334411000,4314838000,2.281265526,61021000.0,
12,WPC,196961000.0,153892000,0.6425,8231402000,4265267000,2.076313063,64063000.0,
13,WPC,201810000.0,151554000,0.59137,8287871000,4389131000,2.2585818680000003,65274000.0,
14,WPC,201143000.0,160984000,0.62038,8266700000,4401058000,2.223964476,75681000.0,
15,WPC,209384000.0,169915000,0.72669,8518988000,4663784000,2.288054224,77348000.0,
16,WPC,,221210000,,14183039000,6378691000,1.897102404,,
17,WPC,298323000.0,236147000,0.4064,14155902000,6123488000,1.964129248,68494000.0,
18,WPC,305211000.0,243437000,0.3913,14192007000,6177011000,2.18811876530392,66038000.0,
19,WPC,318005000.0,258271000,0.42055,14083639000,6097189000,1.9817178778253999,41339000.0,
