Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,17.16,17.09,16.83,17.05,5427.0,711446.0
2015-02-17,17.2,17.06,16.94,17.0,4912.0,842963.0
2015-02-18,17.305,17.28,16.96,17.01,7316.0,1573881.0
2015-02-19,17.31,17.14,17.06,17.23,4949.0,699355.0
2015-02-20,17.35,17.3,17.0,17.08,4793.0,851662.0
2015-02-23,17.52,17.48,17.23,17.35,5766.0,1305005.0
2015-02-24,17.52,17.28,17.22,17.46,4304.0,737581.0
2015-02-25,17.79,17.72,17.2001,17.29,9369.0,1796552.0
2015-02-26,17.78,17.52,17.33,17.7,8348.0,1528136.0
2015-02-27,17.56,17.33,17.31,17.52,6479.0,2180716.0
2015-03-02,17.53,17.3,17.21,17.35,4384.0,823160.0
2015-03-03,17.25,17.02,16.96,17.25,5675.0,905113.0
2015-03-04,16.89,16.71,16.64,16.85,5484.0,759666.0
2015-03-05,16.94,16.78,16.72,16.75,3289.0,447615.0
2015-03-06,16.61,16.37,16.17,16.61,8850.0,1591609.0
2015-03-09,16.5,16.25,16.04,16.47,7534.0,1225574.0
2015-03-10,16.32,16.15,16.11,16.24,5084.0,1668179.0
2015-03-11,16.39,16.32,16.04,16.18,5877.0,1072000.0
2015-03-12,16.57,16.53,16.3,16.39,4337.0,597491.0
2015-03-13,16.68,16.55,16.315,16.47,11679.0,1849430.0
2015-03-16,16.93,16.74,16.6,16.62,8470.0,1780234.0
2015-03-17,16.8,16.44,16.39,16.66,8886.0,1430806.0
2015-03-18,16.86,16.69,16.37,16.4,12446.0,1848782.0
2015-03-19,16.91,16.71,16.59,16.64,8545.0,1748152.0
2015-03-20,17.08,17.06,16.73,16.8,16123.0,4210398.0
2015-03-23,17.08,17.02,16.921,17.03,6781.0,1097927.0
2015-03-24,17.01,16.95,16.68,16.96,6391.0,1312619.0
2015-03-25,17.035,16.49,16.45,16.97,10652.0,2438515.0
2015-03-26,16.72,16.62,16.42,16.42,8962.0,1958655.0
2015-03-27,16.746,16.59,16.55,16.66,6587.0,1277767.0
2015-03-30,16.74,16.71,16.54,16.64,7418.0,1202635.0
2015-03-31,16.75,16.63,16.57,16.67,7338.0,1670250.0
2015-04-01,16.63,16.44,16.39,16.63,12029.0,3385174.0
2015-04-02,16.5,16.4,16.36,16.41,13262.0,3061274.0
2015-04-06,16.72,16.61,16.385,16.42,11230.0,1976720.0
2015-04-07,16.706,16.34,16.315,16.63,7552.0,1658383.0
2015-04-08,16.43,16.29,16.26,16.38,8143.0,1632447.0
2015-04-09,16.27,16.02,15.93,16.26,11461.0,2707522.0
2015-04-10,16.22,16.01,15.9,16.07,9350.0,1366297.0
2015-04-13,16.05,15.91,15.91,15.98,6291.0,1212608.0
2015-04-14,16.13,15.96,15.92,15.94,5236.0,937489.0
2015-04-15,16.02,15.74,15.74,16.02,8530.0,1674621.0
2015-04-16,15.72,15.6,15.6,15.71,8091.0,1233563.0
2015-04-17,15.65,15.44,15.42,15.57,9434.0,3698646.0
2015-04-20,15.56,15.4,15.395,15.48,6076.0,1795026.0
2015-04-21,15.565,15.33,15.295,15.46,7223.0,1609666.0
2015-04-22,15.34,15.33,15.26,15.32,5562.0,1044121.0
2015-04-23,15.64,15.56,15.33,15.34,5239.0,1285688.0
2015-04-24,15.72,15.58,15.43,15.56,5758.0,1641566.0
2015-04-27,15.74,15.62,15.525,15.59,5914.0,1641454.0
2015-04-28,15.61,15.49,15.4,15.57,4758.0,931341.0
2015-04-29,15.43,15.21,15.17,15.4,4516.0,2652741.0
2015-04-30,15.192,15.0,14.89,15.13,6580.0,2272488.0
2015-05-01,15.16,15.06,15.02,15.02,4981.0,722889.0
2015-05-04,15.16,15.08,14.98,15.08,5773.0,1510582.0
2015-05-05,15.11,14.81,14.79,15.01,10044.0,2188035.0
2015-05-06,14.92,14.72,14.62,14.8,8932.0,1984063.0
2015-05-07,14.9499,14.6,14.42,14.73,10684.0,1701000.0
2015-05-08,14.94,14.64,14.6,14.76,8260.0,1806522.0
2015-05-11,14.75,14.49,14.48,14.6,8145.0,1762687.0
2015-05-12,14.575,14.46,14.3,14.41,5672.0,1247058.0
2015-05-13,14.62,14.6,14.41,14.48,7936.0,2272178.0
2015-05-14,14.95,14.92,14.61,14.7,5635.0,1273710.0
2015-05-15,14.96,14.77,14.74,14.96,6453.0,1487792.0
2015-05-18,14.8,14.68,14.64,14.72,3977.0,1067243.0
