,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,WRI,126102000.0,81401000.0,0.71707,3805915000.0,1930009000.0,2.747339737,14097000.0,5.86
1,WRI,125599000.0,81015000.0,0.40981999999999996,3837009000.0,1940897000.0,2.457411488,25125000.0,6.7
2,WRI,126804000.0,82645000.0,0.20526999999999998,3850778000.0,2087957000.0,2.743736549,27866000.0,7.86
3,WRI,130787000.0,84538000.0,0.35186,3895337000.0,2114145000.0,2.8699146110000004,30169000.0,8.24
4,WRI,129654000.0,82589000.0,0.38322,3901945000.0,2113277000.0,3.0988542989999996,31571000.0,8.49
5,WRI,132417000.0,86526000.0,0.58983,4033840000.0,2189324000.0,3.2156250589999997,61917000.0,8.27
6,WRI,135676000.0,87404000.0,0.26854,4032927000.0,2052236000.0,3.046511095,34783000.0,8.13
7,WRI,138599000.0,89585000.0,0.33881999999999995,4382788000.0,2320847000.0,2.769314335,29793000.0,7.92
8,WRI,142863000.0,93561000.0,0.33676999999999996,4426928000.0,2356528000.0,2.578973259,11726000.0,7.6
9,WRI,143663000.0,88852000.0,0.3179,4352091000.0,2323447000.0,2.281447505,15063000.0,8.38
10,WRI,146023000.0,91752000.0,0.49987,4346757000.0,2291474000.0,2.382421751,31628000.0,8.02
11,WRI,144110000.0,91213000.0,0.5683,4313190000.0,2214319000.0,2.487077523,34050000.0,7.81
12,WRI,139367000.0,88348000.0,1.31815,4196639000.0,2081152000.0,2.093270753,35922000.0,8.6
13,WRI,132452000.0,85948000.0,0.27055,4109166000.0,1928570000.0,2.1695337969999997,146824000.0,7.82
14,WRI,142086000.0,94367000.0,0.24888000000000002,4024982000.0,1827181000.0,2.066952202,78289000.0,
15,WRI,128790000.0,82663000.0,0.26221,3997127000.0,1793128000.0,1.8241497309999999,42981000.0,
16,WRI,127819000.0,83307000.0,0.25417,3826961000.0,1794684000.0,2.3947683090000003,59507000.0,
17,WRI,123138000.0,73477000.0,0.25064000000000003,3837663000.0,1788551000.0,2.2284614680000003,49666000.0,
18,WRI,122660000.0,75277000.0,0.25079,3887654000.0,1787400000.0,2.31764726615751,83809000.0,
19,WRI,121362000.0,74813000.0,0.25528,3912590000.0,1736803000.0,2.4016670062267202,106742000.0,
20,WRI,,,,,,,,
