Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,35.57,35.52,35.29,35.45,11494.0,1796850.0
2015-02-17,35.53,35.01,34.93,35.45,23045.0,3608152.0
2015-02-18,35.54,35.46,34.83,34.89,20497.0,2710678.0
2015-02-19,35.37,35.16,35.04,35.32,20368.0,2742536.0
2015-02-20,35.585,35.49,35.12,35.26,20363.0,5399724.0
2015-02-23,35.75,35.73,35.46,35.53,15958.0,2122326.0
2015-02-24,35.68,35.14,35.02,35.68,20619.0,3144891.0
2015-02-25,35.235,34.94,34.89,34.93,20494.0,3026499.0
2015-02-26,35.575,35.09,34.9,34.97,24371.0,4099662.0
2015-02-27,35.21,35.11,34.84,35.09,15602.0,2319300.0
2015-03-02,35.6,35.2,34.99,35.18,16020.0,2268516.0
2015-03-03,35.09,34.81,34.54,35.0,19164.0,3085024.0
2015-03-04,34.84,34.27,34.19,34.64,18272.0,2679102.0
2015-03-05,34.53,34.13,34.11,34.36,17695.0,2599734.0
2015-03-06,33.97,33.03,32.8229,33.88,40072.0,6649689.0
2015-03-09,33.69,33.54,33.0,33.02,25715.0,4074643.0
2015-03-10,33.58,33.24,33.16,33.21,22603.0,3297528.0
2015-03-11,33.5,33.39,33.18,33.29,17482.0,2559798.0
2015-03-12,33.895,33.74,33.4,33.55,19486.0,2735763.0
2015-03-13,33.67,33.06,32.91,33.64,22777.0,4131666.0
2015-03-16,33.78,33.68,33.21,33.22,16726.0,2740608.0
2015-03-17,33.83,33.46,33.455,33.59,16211.0,2184991.0
2015-03-18,34.26,34.12,33.17,33.44,23392.0,3424600.0
2015-03-19,34.26,33.89,33.85,33.99,15900.0,2359092.0
2015-03-20,34.55,34.46,33.8,34.18,21642.0,4883141.0
2015-03-23,34.56,34.38,34.26,34.45,15396.0,2421728.0
2015-03-24,34.49,34.3,34.2,34.32,14733.0,2521510.0
2015-03-25,34.28,33.28,33.27,34.28,21420.0,4540172.0
2015-03-26,33.35,33.06,32.74,33.2,22447.0,3960576.0
2015-03-27,33.32,33.05,32.97,33.06,13255.0,2379519.0
2015-03-30,33.34,33.17,32.93,33.21,16795.0,2653098.0
2015-03-31,33.56,33.15,32.95,33.04,17450.0,3532098.0
2015-04-01,33.19,32.86,32.675,33.17,19899.0,2904756.0
2015-04-02,33.04,32.64,32.6,32.82,22795.0,4511722.0
