,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,WY,1280000000,319000000,0.13894,13009000000,5402000000,3.2779644999999995,101000000,
1,WY,1345000000,312000000,0.22318000000000002,12883000000,5402000000,3.250478671,144000000,8.0
2,WY,1355000000,311000000,0.24411999999999998,12820000000,5402000000,2.85402582,191000000,10.0
3,WY,1266000000,292000000,0.17726,12720000000,5302000000,3.140788262,70000000,9.0
4,WY,1405000000,346000000,0.18367,21779000000,9153000000,3.2480534660000004,81000000,11.0
5,WY,1655000000,418000000,0.18404,21989000000,9355000000,2.19791328,168000000,7.0
6,WY,1709000000,411000000,0.22785999999999998,20946000000,8822000000,2.4827509009999997,227000000,
7,WY,1596000000,340000000,0.1056,19243000000,7122000000,2.448888991,551000000,
8,WY,1693000000,438000000,0.21955,19001000000,7117000000,2.770695627,157000000,
9,WY,1808000000,438000000,0.11546,18990000000,7115000000,2.731660563,24000000,
10,WY,1872000000,351000000,0.18717999999999999,18402000000,6506000000,2.8179054760000004,130000000,
11,WY,1823000000,481000000,0.28924,18059000000,6503000000,2.9356065989999998,271000000,
12,WY,1865000000,531000000,0.36138000000000003,17885000000,6439000000,2.9703107710000003,269000000,
13,WY,2065000000,600000000,0.42596999999999996,18048000000,6435000000,3.068544241,317000000,
14,WY,1910000000,470000000,0.3455,17427000000,6432000000,2.634333617,255000000,
15,WY,1636000000,303000000,0.05463,17249000000,6646000000,1.8082679130000001,-93000000,
16,WY,1643000000,325000000,0.04125,17132000000,6741000000,2.173329531,-289000000,
17,WY,1692000000,317000000,0.17432,17029000000,6633000000,2.2289697509999997,128000000,
18,WY,1671000000,363000000,0.16532,16832000000,6626000000,2.36518437642572,99000000,
19,WY,1548000000,329000000,0.07883,16406000000,6377000000,2.6167163856295295,-14000000,
