Date,HIGH,CLOSE,LOW,OPEN,COUNT,VOLUME
2015-02-13,20.98,20.79,20.65,20.65,3912.0,806297.0
2015-02-17,21.0,20.68,20.19,20.38,4282.0,1071871.0
2015-02-18,20.78,20.67,20.51,20.53,3217.0,747839.0
2015-02-19,20.75,20.53,20.47,20.48,4578.0,879260.0
2015-02-20,20.89,20.75,20.31,20.39,5351.0,934256.0
2015-02-23,20.75,20.62,20.5,20.63,4755.0,779678.0
2015-02-24,20.59,20.42,20.3015,20.5,5470.0,1104033.0
2015-02-25,20.92,20.76,20.32,20.33,6256.0,1003437.0
2015-02-26,20.87,20.76,20.38,20.46,4691.0,927340.0
2015-02-27,21.15,21.06,20.65,20.65,6216.0,1059906.0
2015-03-02,21.56,21.17,20.8,20.81,6726.0,1290613.0
2015-03-03,21.17,21.14,20.92,21.06,5432.0,1140266.0
2015-03-04,21.295,21.21,21.0,21.01,4520.0,824389.0
2015-03-05,21.82,21.37,21.1001,21.11,5072.0,1000076.0
2015-03-06,21.7,21.15,20.63,21.17,5144.0,860716.0
2015-03-09,22.0,21.97,21.1,21.1,8421.0,1632799.0
2015-03-10,22.0,21.99,21.53,21.82,7023.0,1201419.0
2015-03-11,22.85,22.52,21.94,21.95,11110.0,2138044.0
2015-03-12,23.19,22.58,22.465,22.48,7506.0,1363924.0
2015-03-13,22.8628,22.0,21.5,22.48,9750.0,1758806.0
2015-03-16,22.85,22.7,22.09,22.15,9517.0,1541623.0
2015-03-17,22.74,22.22,22.0,22.52,5647.0,853674.0
2015-03-18,22.9,22.85,22.0,22.34,8063.0,1212166.0
2015-03-19,22.99,22.58,22.16,22.8,7414.0,1169443.0
2015-03-20,24.24,24.09,22.65,22.65,22020.0,10952765.0
2015-03-23,24.15,23.79,23.67,23.99,8555.0,1536436.0
2015-03-24,23.83,23.24,23.0101,23.63,6420.0,1044325.0
2015-03-25,23.4,22.73,22.56,23.03,5893.0,903222.0
2015-03-26,22.8,22.73,22.33,22.5,5377.0,900813.0
2015-03-27,22.63,22.43,22.13,22.51,3695.0,583673.0
2015-03-30,22.99,22.82,22.42,22.42,3576.0,535198.0
2015-03-31,22.98,22.75,22.58,22.65,3959.0,588948.0
2015-04-01,22.8,22.62,22.48,22.68,3645.0,527361.0
2015-04-02,23.28,23.21,22.38,22.48,4147.0,688120.0
2015-04-06,23.48,23.33,22.94,23.0,3204.0,571328.0
2015-04-07,23.27,22.86,22.65,23.15,3970.0,616152.0
2015-04-08,23.44,23.35,22.62,22.89,4998.0,799522.0
2015-04-09,23.6,22.74,22.61,23.3,5044.0,873676.0
2015-04-10,23.0,22.84,22.41,22.76,5716.0,1162551.0
2015-04-13,23.4,22.6,22.56,22.8,5697.0,1074688.0
2015-04-14,22.95,22.54,22.36,22.62,5468.0,748286.0
2015-04-15,22.89,22.54,21.42,22.54,4837.0,680426.0
2015-04-16,22.62,22.3,21.39,22.43,7043.0,1321261.0
2015-04-17,22.24,22.1,21.95,22.18,6024.0,741342.0
2015-04-20,22.79,22.76,22.21,22.21,5000.0,618656.0
2015-04-21,22.95,22.77,21.83,22.8,5654.0,721590.0
2015-04-22,22.99,22.9,22.56,22.95,5421.0,688434.0
2015-04-23,22.99,22.88,22.69,22.8,5652.0,765527.0
2015-04-24,23.31,22.99,22.79,22.79,5775.0,977377.0
2015-04-27,23.24,22.69,22.59,22.92,4808.0,684918.0
2015-04-28,22.75,22.56,22.25,22.72,4836.0,702990.0
2015-04-29,22.66,22.22,22.14,22.2,3937.0,505011.0
2015-04-30,22.365,21.91,21.76,22.06,6231.0,738279.0
2015-05-01,22.0,21.93,21.57,21.57,5139.0,724017.0
2015-05-04,22.42,22.23,21.81,21.85,5830.0,792209.0
2015-05-05,22.26,21.67,21.57,22.06,5713.0,689600.0
2015-05-06,21.945,21.53,21.36,21.73,4347.0,499127.0
2015-05-07,22.36,22.17,21.38,21.42,6422.0,854972.0
2015-05-08,22.9,22.69,22.31,22.35,8962.0,1214716.0
2015-05-11,22.99,22.49,22.445,22.52,10261.0,1337531.0
2015-05-12,22.5,22.18,21.86,22.41,10823.0,1372006.0
2015-05-13,22.91,22.57,22.18,22.18,17379.0,2481411.0
2015-05-14,23.31,23.29,21.79,22.47,12906.0,2064156.0
2015-05-15,23.5999,23.46,22.86,23.06,13695.0,2148875.0
2015-05-18,23.66,23.45,23.08,23.18,8479.0,1119338.0
2015-05-19,23.49,23.15,23.06,23.3,7484.0,978589.0
2015-05-20,23.25,22.64,22.6316,23.1,6958.0,1167538.0
2015-05-21,22.7,22.54,22.4,22.49,5788.0,731437.0
2015-05-22,22.9,22.72,22.22,22.22,6619.0,1003896.0
2015-05-26,22.9,22.57,22.48,22.73,8024.0,957450.0
2015-05-27,22.765,22.64,22.29,22.63,7971.0,1040280.0
2015-05-28,22.8,22.37,22.19,22.64,8832.0,1076706.0
2015-05-29,22.78,22.56,22.17,22.17,15946.0,8082958.0
2015-06-01,22.83,22.76,22.43,22.48,7349.0,940587.0
2015-06-02,22.75,22.54,22.28,22.66,5486.0,761922.0
2015-06-03,22.625,22.45,22.28,22.45,5319.0,694197.0
2015-06-04,22.505,22.44,22.28,22.36,4125.0,620252.0
2015-06-05,22.69,22.61,21.76,21.81,9845.0,1307637.0
2015-06-08,22.835,22.7,22.54,22.54,9608.0,1410492.0
2015-06-09,23.06,23.06,22.58,22.73,11956.0,2043473.0
2015-06-10,23.25,23.22,22.82,23.0,9282.0,1198284.0
2015-06-11,23.3,22.85,22.7361,23.3,7672.0,1248979.0
2015-06-12,23.13,23.03,22.7301,22.75,5160.0,747318.0
2015-06-15,23.64,23.42,23.01,23.13,18561.0,3309269.0
2015-06-16,23.7,23.67,23.17,23.32,14150.0,1859815.0
2015-06-17,23.9,23.85,23.5,23.63,11941.0,1706094.0
2015-06-18,23.87,23.85,23.64,23.84,12875.0,1776885.0
2015-06-19,24.39,24.33,23.79,23.82,18452.0,8814156.0
2015-06-22,24.36,23.88,23.82,24.33,10270.0,1988227.0
2015-06-23,23.89,23.77,23.51,23.72,9006.0,1375987.0
2015-06-24,23.78,23.6,23.33,23.7,9974.0,1317219.0
2015-06-25,23.58,22.83,22.6501,23.53,11160.0,1734185.0
2015-06-26,22.95,22.67,22.37,22.64,16415.0,9579777.0
2015-06-29,22.79,21.62,21.6,22.67,11649.0,1583869.0
2015-06-30,21.77,21.74,21.29,21.71,8288.0,1252063.0
2015-07-01,21.95,21.95,21.52,21.75,8564.0,1342983.0
2015-07-02,22.04,21.86,21.73,21.97,7237.0,1110808.0
2015-07-06,22.1,21.92,21.53,21.65,7655.0,1113591.0
2015-07-07,22.13,21.91,21.79,21.93,5355.0,601688.0
2015-07-08,21.89,21.75,21.58,21.72,4616.0,626039.0
2015-07-09,21.905,21.7,21.42,21.88,4805.0,610062.0
2015-07-10,22.08,22.03,21.66,21.75,4417.0,592873.0
2015-07-13,22.38,22.07,21.86,22.18,4125.0,605619.0
2015-07-14,22.36,22.27,21.98,21.99,3752.0,521962.0
2015-07-15,22.35,22.3,21.96,22.13,3836.0,491950.0
2015-07-16,22.71,22.5,22.23,22.35,4086.0,567692.0
2015-07-17,22.66,22.39,22.28,22.47,3831.0,697769.0
2015-07-20,22.45,22.18,22.1,22.38,3992.0,715149.0
2015-07-21,22.495,22.09,22.02,22.13,3381.0,443634.0
2015-07-22,22.261,22.07,22.0,22.05,3422.0,496299.0
2015-07-23,22.21,21.04,20.81,22.04,8705.0,1152170.0
2015-07-24,21.09,20.8,20.66,20.96,4862.0,698028.0
2015-07-27,21.01,20.83,20.48,20.65,3357.0,433590.0
2015-07-28,20.97,20.74,20.57,20.84,2958.0,373477.0
2015-07-29,21.06,20.9,20.35,20.68,3073.0,400190.0
2015-07-30,21.16,20.61,20.51,21.16,3056.0,532639.0
2015-07-31,20.89,20.73,20.64,20.64,3255.0,447808.0
2015-08-03,20.9,20.71,20.36,20.69,3871.0,462962.0
2015-08-04,20.85,20.48,20.4,20.67,2994.0,440567.0
2015-08-05,20.6279,20.09,19.9,20.52,6519.0,853851.0
2015-08-06,20.21,19.92,19.3,19.95,6230.0,924337.0
2015-08-07,19.93,19.85,19.5595,19.8,3376.0,445144.0
2015-08-10,19.93,19.71,19.57,19.84,4416.0,710509.0
2015-08-11,20.17,20.09,19.53,19.55,5460.0,859032.0
