,Instrument,Revenue,EBITDA,Basic Normalized EPS,Total Assets,Total Debt,Price To Book Value Per Share (Daily Time Series Ratio),Net Income Incl Extra Before Distributions,Return On Equity - Mean
0,XHR,229937000,52656000,0.0037700000000000003,2955751000,1295048000,1.7002981019999999,75099000,
1,XHR,227873000,37714000,-0.1284,3030407000,1178213000,1.429759864,-14870000,
2,XHR,251223000,77097000,0.21902,2989409000,1127187000,1.149599759,23747000,
3,XHR,248453000,72786000,0.19279000000000002,3111940000,1186342000,1.013463998,18098000,
4,XHR,248594000,71065000,0.33538,3005945000,1094536000,1.009770474,61783000,
5,XHR,235035000,59750000,-0.00231,3089495000,1290009000,1.113707382,-8917000,
6,XHR,261378000,86026000,0.25667,3055049000,1266001000,1.012310615,25768000,
7,XHR,233946000,70156000,0.18924000000000002,2946808000,1169128000,1.300332379,20242000,
8,XHR,219800000,60662000,0.27712,2860345000,1077132000,1.118673553,48759000,
9,XHR,218460000,57031000,0.07505,2834482000,1076989000,1.286291933,8113000,
10,XHR,244392000,76927000,0.23596999999999999,2874083000,1063442000,1.3654922280000001,69418000,
11,XHR,223289000,60963000,0.1125,3088632000,1285891000,1.415063776,11638000,
12,XHR,259135000,65408000,0.09294,3115308000,1322593000,1.3033713470000001,9693000,
13,XHR,264499000,71676000,0.1518,3167527000,1328086000,1.57803076,55657000,
14,XHR,277057000,84408000,0.24706999999999998,3083715000,1117750000,1.498222805,28794000,
15,XHR,240989000,58379000,0.07981,3111708000,1133888000,1.0962251379999999,9244000,
16,XHR,275663000,71197000,0.40841,3170087000,1155088000,1.3524303080000002,99993000,
17,XHR,293687000,76149000,0.14844000000000002,3181237000,1149916000,1.302355223,16703000,10.7
18,XHR,304285000,85542000,0.19821,3167931000,1149418000,1.34010238583116,12777000,
19,XHR,268931000,60049000,0.09414,3158982000,1148500000,1.38930007619077,10315000,3.6
